reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks,county-facName,CMS_ProvNum
2020-06-05,Boone,Park Place of Belvidere,5,0,Open,0.0,1,BOONE-PARK PLACE OF BELVIDERE,146071
2020-06-05,Boone,Symphony Northwoods,87,13,Open,0.14942528735632185,1,BOONE-SYMPHONY NORTHWOODS,No Match
2020-06-05,Champaign,Reflections Memory Care,8,0,Open,0.0,1,CHAMPAIGN-REFLECTIONS MEMORY CARE,No Match
2020-06-05,Champaign,University Rehab Center,5,0,Open,0.0,1,CHAMPAIGN-UNIVERSITY REHAB CENTER,145364
2020-06-05,Christian,Villas of Holly Brook,2,0,Open,0.0,1,CHRISTIAN-VILLAS OF HOLLY BROOK,No Match
2020-06-05,Clinton,Carlyle HealthCare Center,85,15,Open,0.17647058823529413,1,CLINTON-CARLYLE HEALTHCARE CENTER,145729
2020-06-05,Clinton,Clinton Manor Living Facility,29,1,Open,0.034482758620689655,1,CLINTON-CLINTON MANOR LIVING FACILITY,146025
2020-06-05,Clinton,Warrren G Murray Develpmental Center,59,0,Open,0.0,1,CLINTON-WARRREN G MURRAY DEVELPMENTAL CENTER,No Match
2020-06-05,Coles,Charleston Rehab and Healthcare,84,15,Open,0.17857142857142858,1,COLES-CHARLESTON REHAB AND HEALTHCARE,145636
2020-06-05,Coles,Mattoon Healthcare,2,0,Open,0.0,1,COLES-MATTOON HEALTHCARE,145480
2020-06-05,Coles,The Grove of Northbrook,6,0,Open,0.0,1,COLES-THE GROVE OF NORTHBROOK,No Match
2020-06-05,Cook,Abington of Glenview,6,0,Open,0.0,1,COOK-ABINGTON OF GLENVIEW,145683
2020-06-05,Cook,Addolorata Villa,90,13,Open,0.14444444444444443,1,COOK-ADDOLORATA VILLA,145724
2020-06-05,Cook,Albany Care,12,0,Open,0.0,1,COOK-ALBANY CARE,No Match
2020-06-05,Cook,Alben Lincoln Park Nursing Home,4,0,Open,0.0,1,COOK-ALBEN LINCOLN PARK NURSING HOME,No Match
2020-06-05,Cook,Alden Estates Des Plaines,12,2,Open,0.16666666666666666,1,COOK-ALDEN ESTATES DES PLAINES,145998
2020-06-05,Cook,Alden Estates of Barrington,3,0,Open,0.0,1,COOK-ALDEN ESTATES OF BARRINGTON,145557
