reporting_date,County,FacilityName,confirmed_cases,deaths,ReportDate,status,CFR,outbreaks
2020-11-13,Adams,Chaddock,3,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Adams,Illinois Veterans Home,87,1,2020-11-13T00:00:00,Open,0.011494252873563218,1
2020-11-13,Adams,Senior Center,4,2,2020-11-13T00:00:00,Closed,0.5,1
2020-11-13,Adams,Good Samaritan Home,13,1,2020-11-13T00:00:00,Open,0.07692307692307693,1
2020-11-13,Adams,Adams Pointe Senior Living,4,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Adams,Bradford Villa,8,1,2020-11-13T00:00:00,Closed,0.125,1
2020-11-13,Adams,Golden Good Shepperd Home,52,8,2020-11-13T00:00:00,Open,0.15384615384615385,1
2020-11-13,Adams,Sunset Home,10,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Adams,St Vincents Nursing Home,38,6,2020-11-13T00:00:00,Open,0.15789473684210525,1
2020-11-13,Adams,Cedarhurst,14,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Adams,Transitions,7,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Bond,Greenville Nursing & Rehab,21,1,2020-11-13T00:00:00,Open,0.047619047619047616,1
2020-11-13,Bond,Cedarhurst of Greenville,20,3,2020-11-13T00:00:00,Open,0.15,1
2020-11-13,Boone,Symphony Northwoods,89,16,2020-11-13T00:00:00,Closed,0.1797752808988764,1
2020-11-13,Boone,Park Place of Belvidere,6,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Boone,Heritage of Woods,5,1,2020-11-13T00:00:00,Closed,0.2,1
2020-11-13,Boone,Maple Crest Care Center,10,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Boone,Park Place,48,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Boone,Heritage Woods of Belvidere ,4,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Brown,Heritage Health,12,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Bureau,St. Margarets Living Center,3,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Bureau,Aperion Care- Princeton,24,1,2020-11-13T00:00:00,Open,0.041666666666666664,1
2020-11-13,Bureau,Liberty Village of Princeton,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Bureau,Aperion Care Spring Valley,29,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Bureau,Heritage Health,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Carroll,Big Meadows Nursing Home,99,8,2020-11-13T00:00:00,Open,0.08080808080808081,1
2020-11-13,Carroll,Allure of Mount Carroll,40,8,2020-11-13T00:00:00,Open,0.2,1
2020-11-13,Cass,Walker Nursing Home,57,11,2020-11-13T00:00:00,Closed,0.19298245614035087,1
2020-11-13,Cass,Heritage Health,59,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Cass,Evergreen Place Supportive Living ,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,University Rehab Center,5,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Reflections Memory Care,28,4,2020-11-13T00:00:00,Closed,0.14285714285714285,1
2020-11-13,Champaign,Champaign-Urbana Nursing and Rehab,4,1,2020-11-13T00:00:00,Closed,0.25,1
2020-11-13,Champaign,Villas of Hollybrook-Rantoul,5,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Country Health and Rehab,7,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Green House Homes at Clark-Lindsey,2,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Illini Heritage Rehab and Health,2,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Meadowbrook at Clark-Lindsey,7,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Champaign Urbana Nursing and Rehab,21,1,2020-11-13T00:00:00,Open,0.047619047619047616,1
2020-11-13,Champaign,Bickford Senior Living,10,3,2020-11-13T00:00:00,Closed,0.3,1
2020-11-13,Champaign,University Rehabilitation Center,4,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Country Health and Rehab,2,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Champaign,Brookdale Urbana,6,1,2020-11-13T00:00:00,Open,0.16666666666666666,1
2020-11-13,Champaign,Meadowbrook at Clark-Lindsey,9,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Evergreen Place,6,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Green House Homes at Clark-Lindsey,5,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Illini Heritage Rehab And Health,50,4,2020-11-13T00:00:00,Open,0.08,1
2020-11-13,Champaign,Arbor Rose of Tolono,5,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Autumn Fields-Savoy,7,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Eagles View Supportive Living and Memory Care,11,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,University Rehab Center,9,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Prairie Winds of Urbana,3,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Country Health & Rehab,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Champaign,Windsor At Savoy,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Christian,Villas of Holly Brook,2,0,2020-11-13T00:00:00,Closed,0.0,1
2020-11-13,Christian,Taylorville Estates,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Christian,Taylorville Hickory Estates,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Christian,Heritage Health of Pana,2,0,2020-11-13T00:00:00,Open,0.0,1
2020-11-13,Christian,Prairie Rose,2,0,2020-11-13T00:00:00,Open,0.0,1
