County,FacilityName,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2020-12-18,374,1,0.00267379679144385,2,1,1,1
Cook,Ludeman Developmental Center,No Match,2020-12-18,263,9,0.034220532319391636,1,1,0,1
Cook,City View Multi Care Center,145850,2020-12-18,249,15,0.060240963855421686,1,1,0,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2020-12-18,240,41,0.17083333333333334,2,1,1,1
Cook,Niles Nursing and Rehab Center,145696,2020-12-18,239,54,0.22594142259414227,2,1,1,1
Cook,Bria River Oaks,145735,2020-12-18,231,3,0.012987012987012988,1,0,1,1
Lake,Avantara Long Grove,145868,2020-12-18,228,32,0.14035087719298245,1,1,0,1
Cook,Peterson Park Health Care,145838,2020-12-18,226,36,0.1592920353982301,2,1,1,1
Cook,Symphony at Midway,145995,2020-12-18,223,27,0.1210762331838565,3,2,1,1
Cook,Woodbridge Nursing Pavilion,145792,2020-12-18,222,40,0.18018018018018017,2,1,1,1
Cook,Symphony of South Shore,145977,2020-12-18,222,32,0.14414414414414414,2,0,2,1
Cook,Symphony of Lincoln Park,145510,2020-12-18,219,32,0.1461187214611872,2,1,1,1
LaSalle,Illinois Veterans Home - LaSalle,No Match,2020-12-18,211,33,0.15639810426540285,2,1,1,1
Rock Island,Hope Creek,145269,2020-12-18,210,21,0.1,1,0,1,1
Cook,Aperion Care International of Chicago,146001,2020-12-18,207,30,0.14492753623188406,1,0,1,1
Cook,Symphony of Morgan Park,145764,2020-12-18,206,26,0.1262135922330097,2,0,2,1
Cook,Norridge Gardens,145329,2020-12-18,204,57,0.27941176470588236,1,0,1,1
Will,Sunny Hill Nursing Home,145892,2020-12-18,204,21,0.10294117647058823,2,1,1,1
Cook,Elevate Care Chicago North,145484,2020-12-18,201,34,0.1691542288557214,2,1,1,1
DuPage,Manorcare Hinsdale,145246,2020-12-18,200,41,0.205,2,1,1,1
Cook,Glenview Terrace,145268,2020-12-18,193,34,0.17616580310880828,2,1,1,1
Cook,Parkshore Estates,145938,2020-12-18,192,1,0.005208333333333333,2,1,1,1
Cook,Symphony at 87th,145983,2020-12-18,186,34,0.1827956989247312,1,0,1,1
Cook,Presence Villa Scalabrini Nursing&Rehab Center,145956,2020-12-18,183,10,0.0546448087431694,1,0,1,1
Adams,Illinois Veterans Home Quincy,No Match,2020-12-18,181,4,0.022099447513812154,1,0,1,1
Cook,Bria Forest Edge,145864,2020-12-18,180,3,0.016666666666666666,1,0,1,1
Kane,River View Rehab ,No Match,2020-12-18,180,15,0.08333333333333333,1,0,1,1
