ReportingDate,State,County,City,FacilityName,TYPE,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,TOTAL RESIDENT CASES,TOTAL Resident Probable Positives,TOTAL RESIDENT DEATHS,TOTAL Resident Probable Deaths,TOTAL STAFF CASES,TOTAL Staff Probable Positives,TOTAL STAFF DEATHS,TOTAL Staff Probable Deaths,confirmed_cases,TOTAL Resident/Staff Probable Positives,deaths,TOTAL Resident/Staff Probable Deaths,NEW RESIDENT CASES,NEW Resident Probable Positives,NEW RESIDENT DEATHS,NEW Resident Probable Deaths,NEW STAFF CASES,NEW Staff Probable Positives,NEW STAFF DEATHS,NEW Staff Probable Deaths,NEW Resident/Staff Positives,NEW Resident/Staff Probable Positives,NEW Resident/Staff Deaths,NEW Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment,COMPLIANCE
20210205,IL,Adams,,Adams Pointe Senior Living,,,,,,,,Closed,,,,,,,,,,4,,0,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Bickford Cottage,,,,,,,,Open,,,,,,,,,,9,,0,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Blessing Hospital SNU,,,,,,,,Open,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Bradford Villa,,,,,,,,Open,,,,,,,,,,21,,3,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Cedarhurst,,,,,,,,Closed,,,,,,,,,,26,,1,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Chaddock,,,,,,,,Closed,,,,,,,,,,23,,0,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Curtis Creek,,,,,,,,Open,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Golden Good Shepperd Home,,,,,,,,Closed,,,,,,,,,,54,,9,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Good Samaritan Home,,,,,,,,Open,,,,,,,,,,75,,5,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Illinois Veterans Home Quincy,,,,,,,,Open,,,,,,,,,,239,,23,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Quincy Terrace,,,,,,,,Open,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,
20210205,IL,Adams,,Senior Center,,,,,,,,Open,,,,,,,,,,12,,0,,,,,,,,,,,,,,,,,
