County,FacilityName2,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,Brandel Care Center,145527,2021-02-05,565,15,0.02654867256637168,2,1,1,1
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2021-02-05,493,2,0.004056795131845842,2,1,1,1
Cook,Ludeman Developmental Center,No Match,2021-02-05,263,9,0.034220532319391636,1,1,0,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2021-02-05,259,44,0.16988416988416988,2,1,1,1
Lake,Avantara Long Grove,145868,2021-02-05,255,34,0.13333333333333333,2,1,1,1
Cook,City View Multi Care Center,145850,2021-02-05,249,15,0.060240963855421686,1,1,0,1
Cook,Peterson Park Health Care,145838,2021-02-05,247,36,0.145748987854251,2,1,1,1
Cook,Niles Nursing and Rehab Center,145696,2021-02-05,244,54,0.22131147540983606,2,1,1,1
Adams,Illinois Veterans Home Quincy,No Match,2021-02-05,239,23,0.09623430962343096,1,0,1,1
Cook,Woodbridge Nursing Pavilion,145792,2021-02-05,233,41,0.1759656652360515,2,1,1,1
Cook,Symphony of South Shore,145977,2021-02-05,230,35,0.15217391304347827,2,0,2,1
Cook,Symphony at Midway,145995,2021-02-05,225,27,0.12,3,2,1,1
Rock Island,Hope Creek,145269,2021-02-05,223,26,0.11659192825112108,1,1,0,1
Cook,Symphony of Lincoln Park,145510,2021-02-05,219,32,0.1461187214611872,2,1,1,1
LaSalle,Illinois Veterans Home - LaSalle,No Match,2021-02-05,219,36,0.1643835616438356,2,1,1,1
DuPage,Manorcare Hinsdale,145246,2021-02-05,215,41,0.19069767441860466,2,1,1,1
Cook,Symphony of Morgan Park,145764,2021-02-05,213,26,0.12206572769953052,2,0,2,1
Cook,Villa at Windsor Park,145970,2021-02-05,213,44,0.20657276995305165,3,2,1,1
Will,Sunny Hill Nursing Home,145892,2021-02-05,212,36,0.16981132075471697,2,2,0,1
Cook,Bria River Oaks,145735,2021-02-05,211,3,0.014218009478672985,1,1,0,1
Cook,Parkshore Estates,145938,2021-02-05,210,6,0.02857142857142857,2,1,1,1
DuPage,St. Patricks Residence Nursing and Rehabilitation,145878,2021-02-05,208,16,0.07692307692307693,1,0,1,1
Cook,Elevate Care Chicago North,145484,2021-02-05,207,34,0.1642512077294686,2,1,1,1
Will,Aperion Wilmington,145316,2021-02-05,205,0,0.0,3,2,1,1
Cook,Albany Care,No Match,2021-02-05,205,1,0.004878048780487805,1,0,1,1
Cook,Clark Manor,145507,2021-02-05,201,19,0.0945273631840796,2,1,1,1
DuPage,DuPage Care Center,145050,2021-02-05,199,10,0.05025125628140704,1,0,1,1
Cook,Generations at Regency,145237,2021-02-05,197,38,0.19289340101522842,2,1,1,1
Cook,Bria Forest Edge,145864,2021-02-05,197,6,0.030456852791878174,1,0,1,1
Cook,Glenview Terrace,145268,2021-02-05,196,35,0.17857142857142858,2,1,1,1
Will,Presence Villa Franciscan,145029,2021-02-05,194,21,0.10824742268041238,2,1,1,1
DuPage,Meadowbrook Manor Naperville,145874,2021-02-05,194,18,0.09278350515463918,2,1,1,1
Cook,Lee Manor Rehab and Nursing,145382,2021-02-05,193,34,0.17616580310880828,1,0,1,1
Kane,Tower Hill Healthcare Center,145795,2021-02-05,192,31,0.16145833333333334,2,1,1,1
Cook,Avantara Park Ridge,145667,2021-02-05,192,30,0.15625,2,1,1,1
Cook,Symphony at 87th,145983,2021-02-05,190,34,0.17894736842105263,1,0,1,1
