reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks
2020-07-17,Adams,Illinois Veterans Home,9,0,Open,0.0,1
2020-07-17,Bond,Greenville Nursing & Rehab,3,0,Open,0.0,1
2020-07-17,Boone,Park Place of Belvidere,6,0,Open,0.0,1
2020-07-17,Boone,Symphony Northwoods,87,14,Open,0.16091954022988506,1
2020-07-17,Cass,Walker Nursing Home,57,10,Open,0.17543859649122806,1
2020-07-17,Champaign,Champaign-Urbana Nursing and Rehab,3,0,Open,0.0,1
2020-07-17,Champaign,Reflections Memory Care,29,4,Open,0.13793103448275862,1
2020-07-17,Champaign,University Rehab Center,5,0,Closed,0.0,1
2020-07-17,Champaign,Villas of Hollybrook ,2,0,Open,0.0,1
2020-07-17,Christian,Villas of Holly Brook,2,0,Closed,0.0,1
2020-07-17,Clark,Villas of Holly Brook Marshall,3,0,Open,0.0,1
2020-07-17,Clinton,Carlyle HealthCare Center,85,16,Open,0.18823529411764706,1
2020-07-17,Clinton,Clinton Manor Living Facility,30,1,Open,0.03333333333333333,1
2020-07-17,Clinton,Villa Catherine,7,0,Closed,0.0,1
2020-07-17,Clinton,Warrren G Murray Develpmental Center,61,0,Open,0.0,1
2020-07-17,Coles,Charleston Rehab and Healthcare,88,16,Open,0.18181818181818182,1
2020-07-17,Coles,Mattoon Healthcare,2,0,Closed,0.0,1
2020-07-17,Cook,Abington of Glenview,12,1,Open,0.08333333333333333,1
2020-07-17,Cook,Addolorata Villa,105,18,Open,0.17142857142857143,1
2020-07-17,Cook,Albany Care,15,0,Open,0.0,1
2020-07-17,Cook,Alden Estates Des Plaines,13,2,Open,0.15384615384615385,1
2020-07-17,Cook,Alden Estates of Barrington,9,0,Open,0.0,1
2020-07-17,Cook,Alden Estates of Evanston,15,2,Open,0.13333333333333333,1
2020-07-17,Cook,Alden Estates of Northmoor,83,19,Open,0.2289156626506024,1
2020-07-17,Cook,Alden Estates of Orland Park,37,13,Open,0.35135135135135137,1
2020-07-17,Cook,Alden Estates of Skokie,5,0,Open,0.0,1
2020-07-17,Cook,Alden Lakeland,17,2,Open,0.11764705882352941,1
2020-07-17,Cook,Alden Lincoln Park Rehab,74,11,Open,0.14864864864864866,1
2020-07-17,Cook,Alden North Shore,3,1,Open,0.3333333333333333,1
2020-07-17,Cook,Alden North Shore ,3,0,Open,0.0,1
2020-07-17,Cook,Alden PoplarCreek,58,19,Open,0.3275862068965517,1
