County,confirmed_cases,deaths,% deaths,num of facilities
Cook,13714,2348,0.17121190024792182,292
DuPage,2292,419,0.18280977312390925,67
Lake,2284,347,0.15192644483362522,55
Kane,1083,178,0.16435826408125578,44
Will,895,173,0.19329608938547485,38
St. Clair,633,105,0.16587677725118483,21
Winnebago,571,96,0.1681260945709282,17
McHenry,501,90,0.17964071856287425,14
Madison,376,71,0.18882978723404256,21
Kankakee,378,40,0.10582010582010581,12
Rock Island,266,35,0.13157894736842105,14
Peoria,170,29,0.17058823529411765,9
Sangamon,168,28,0.16666666666666666,9
DeKalb,146,23,0.15753424657534246,4
Macon,119,22,0.18487394957983194,8
Coles,117,20,0.17094017094017094,5
Union,132,20,0.15151515151515152,3
Jefferson,148,19,0.12837837837837837,5
LaSalle,187,19,0.10160427807486631,7
Clinton,185,16,0.08648648648648649,4
McDonough,69,16,0.2318840579710145,3
Boone,95,16,0.16842105263157894,2
Jackson,62,15,0.24193548387096775,2
Kendall,62,14,0.22580645161290322,3
Iroquois,128,12,0.09375,3
McLean,67,11,0.16417910447761194,3
Cass,60,11,0.18333333333333332,2
Monroe,67,11,0.16417910447761194,4
Whiteside,78,10,0.1282051282051282,6
Jasper,49,8,0.16326530612244897,1
Tazewell,32,6,0.1875,5
Morgan,78,5,0.0641025641025641,3
Champaign,51,5,0.09803921568627451,6
Carroll,20,4,0.2,1
Adams,35,3,0.08571428571428572,4
Grundy,34,3,0.08823529411764706,2
Cumberland,34,3,0.08823529411764706,1
Perry,51,2,0.0392156862745098,1
Mercer,12,2,0.16666666666666666,1
Montgomery,15,2,0.13333333333333333,2
Wayne,8,1,0.125,2
Lee,85,1,0.011764705882352941,1
Ford,26,1,0.038461538461538464,4
Jersey,19,1,0.05263157894736842,1
Williamson,2,0,0.0,1
Warren,2,0,0.0,1
Shelby,10,0,0.0,3
Stephenson,2,0,0.0,1
Vermilion,4,0,0.0,1
Wabash,6,0,0.0,2
Macoupin,12,0,0.0,3
Scott,6,0,0.0,1
Randolph,9,0,0.0,3
Ogle,9,0,0.0,2
Moultrie,5,0,0.0,1
Marion,2,0,0.0,1
Bond,4,0,0.0,1
Logan,3,0,0.0,1
Knox,13,0,0.0,1
Jo Daviess,5,0,0.0,2
Clark,7,0,0.0,1
Christian,4,0,0.0,2
Bureau,3,0,0.0,1
Woodford,2,0,0.0,1
