reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks,county-facName,CMS_ProvNum
2020-06-12,Boone,Park Place of Belvidere,6,0,Open,0.0,1,BOONE-PARK PLACE OF BELVIDERE,146071
2020-06-12,Boone,Symphony Northwoods,87,13,Open,0.14942528735632185,1,BOONE-SYMPHONY NORTHWOODS,No Match
2020-06-12,Champaign,Champaign-Urbana Nursing and Rehab,2,0,Open,0.0,1,CHAMPAIGN-CHAMPAIGN-URBANA NURSING AND REHAB,145439
2020-06-12,Champaign,Reflections Memory Care,12,1,Open,0.08333333333333333,1,CHAMPAIGN-REFLECTIONS MEMORY CARE,No Match
2020-06-12,Champaign,University Rehab Center,5,0,Open,0.0,1,CHAMPAIGN-UNIVERSITY REHAB CENTER,145364
2020-06-12,Christian,Villas of Holly Brook,2,0,Open,0.0,1,CHRISTIAN-VILLAS OF HOLLY BROOK,No Match
2020-06-12,Clinton,Carlyle HealthCare Center,85,16,Open,0.18823529411764706,1,CLINTON-CARLYLE HEALTHCARE CENTER,145729
2020-06-12,Clinton,Clinton Manor Living Facility,29,1,Open,0.034482758620689655,1,CLINTON-CLINTON MANOR LIVING FACILITY,146025
2020-06-12,Clinton,Villa Catherine,4,0,Open,0.0,1,CLINTON-VILLA CATHERINE,No Match
2020-06-12,Clinton,Warrren G Murray Develpmental Center,61,0,Open,0.0,1,CLINTON-WARRREN G MURRAY DEVELPMENTAL CENTER,No Match
2020-06-12,Coles,Charleston Rehab and Healthcare,82,16,Open,0.1951219512195122,1,COLES-CHARLESTON REHAB AND HEALTHCARE,145636
2020-06-12,Coles,Mattoon Healthcare,2,0,Open,0.0,1,COLES-MATTOON HEALTHCARE,145480
2020-06-12,Cook,Abington of Glenview,6,0,Open,0.0,1,COOK-ABINGTON OF GLENVIEW,145683
2020-06-12,Cook,Addolorata Villa,93,14,Open,0.15053763440860216,1,COOK-ADDOLORATA VILLA,145724
2020-06-12,Cook,Albany Care,13,0,Open,0.0,1,COOK-ALBANY CARE,No Match
2020-06-12,Cook,Alden Estates Des Plaines,13,2,Open,0.15384615384615385,1,COOK-ALDEN ESTATES DES PLAINES,145998
2020-06-12,Cook,Alden Estates of Barrington,5,0,Open,0.0,1,COOK-ALDEN ESTATES OF BARRINGTON,145557
2020-06-12,Cook,Alden Estates of Evanston,13,2,Open,0.15384615384615385,1,COOK-ALDEN ESTATES OF EVANSTON,145907
2020-06-12,Cook,Alden Estates of Northmoor,81,19,Open,0.2345679012345679,1,COOK-ALDEN ESTATES OF NORTHMOOR,145888
2020-06-12,Cook,Alden Estates of Orland Park,25,12,Open,0.48,1,COOK-ALDEN ESTATES OF ORLAND PARK,145963
2020-06-12,Cook,Alden Estates of Skokie,5,0,Open,0.0,1,COOK-ALDEN ESTATES OF SKOKIE,145869
2020-06-12,Cook,Alden Lakeland,16,1,Open,0.0625,1,COOK-ALDEN LAKELAND,145450
2020-06-12,Cook,Alden Lincoln Park Rehab,71,10,Open,0.14084507042253522,1,COOK-ALDEN LINCOLN PARK REHAB,145126
2020-06-12,Cook,Alden North Shore,3,1,Open,0.3333333333333333,1,COOK-ALDEN NORTH SHORE,145984
2020-06-12,Cook,Alden PoplarCreek,22,4,Open,0.18181818181818182,1,COOK-ALDEN POPLARCREEK,145403
2020-06-12,Cook,Alden Princeton Rehab & Health,48,10,Open,0.20833333333333334,1,COOK-ALDEN PRINCETON REHAB & HEALTH,145688
2020-06-12,Cook,Alden Town Manor Care,7,0,Open,0.0,1,COOK-ALDEN TOWN MANOR CARE,No Match
2020-06-12,Cook,Alden Village North,6,0,Open,0.0,1,COOK-ALDEN VILLAGE NORTH,No Match
2020-06-12,Cook,Alden Wentworth  Rehab & Healthcare Center,65,13,Open,0.2,1,COOK-ALDEN WENTWORTH  REHAB & HEALTHCARE CENTER,No Match
2020-06-12,Cook,All American Nursing Home,33,4,Open,0.12121212121212122,1,COOK-ALL AMERICAN NURSING HOME,14A057
2020-06-12,Cook,All Saints,2,0,Open,0.0,1,COOK-ALL SAINTS,No Match
2020-06-12,Cook,Ambassador Nursing,101,11,Open,0.10891089108910891,1,COOK-AMBASSADOR NURSING,145343
2020-06-12,Cook,AMITA Health Holy Family Medical Center ,19,0,Open,0.0,1,COOK-AMITA HEALTH HOLY FAMILY MEDICAL CENTER ,No Match
2020-06-12,Cook,Aperion Care Burbank,5,1,Open,0.2,1,COOK-APERION CARE BURBANK,145913
2020-06-12,Cook,Aperion Care Chicago Heights,13,1,Open,0.07692307692307693,1,COOK-APERION CARE CHICAGO HEIGHTS,145180
2020-06-12,Cook,Aperion Care Dolton,28,5,Open,0.17857142857142858,1,COOK-APERION CARE DOLTON,145877
2020-06-12,Cook,Aperion Care Evanston,25,2,Open,0.08,1,COOK-APERION CARE EVANSTON,146058
2020-06-12,Cook,Aperion Care Forest Park,21,1,Open,0.047619047619047616,1,COOK-APERION CARE FOREST PARK,145969
2020-06-12,Cook,Aperion Care International of Chicago,113,20,Open,0.17699115044247787,1,COOK-APERION CARE INTERNATIONAL OF CHICAGO,146001
2020-06-12,Cook,Aperion Care Midlothian,3,0,Open,0.0,1,COOK-APERION CARE MIDLOTHIAN,145947
2020-06-12,Cook,Aperion Care Oak Lawn,87,20,Open,0.22988505747126436,1,COOK-APERION CARE OAK LAWN,145197
2020-06-12,Cook,Aperion Care Plum Grove,43,4,Open,0.09302325581395349,1,COOK-APERION CARE PLUM GROVE,145658
2020-06-12,Cook,Aperion Care West Ridge,33,11,Open,0.3333333333333333,1,COOK-APERION CARE WEST RIDGE,145832
2020-06-12,Cook,Arbour Health Care Center,48,3,Open,0.0625,1,COOK-ARBOUR HEALTH CARE CENTER,146169
2020-06-12,Cook,Arden Courts/Manor Care of South Holland ,29,5,Open,0.1724137931034483,1,COOK-ARDEN COURTS/MANOR CARE OF SOUTH HOLLAND ,No Match
2020-06-12,Cook,Arden Courts of Elk Grove,21,5,Open,0.23809523809523808,1,COOK-ARDEN COURTS OF ELK GROVE,No Match
2020-06-12,Cook,Arden Courts of Palos Heights,37,10,Open,0.2702702702702703,1,COOK-ARDEN COURTS OF PALOS HEIGHTS,No Match
2020-06-12,Cook,Artis Senior Living of Lakeview,34,8,Open,0.23529411764705882,1,COOK-ARTIS SENIOR LIVING OF LAKEVIEW,No Match
2020-06-12,Cook,Asbury Court Senior Living,5,0,Open,0.0,1,COOK-ASBURY COURT SENIOR LIVING,146187
2020-06-12,Cook,Aspire Living Prospect Heights,10,0,Open,0.0,1,COOK-ASPIRE LIVING PROSPECT HEIGHTS,No Match
2020-06-12,Cook,Astoria Place of Chicago,105,20,Open,0.19047619047619047,1,COOK-ASTORIA PLACE OF CHICAGO,145634
2020-06-12,Cook,Atria Glenview,3,0,Open,0.0,1,COOK-ATRIA GLENVIEW,No Match
2020-06-12,Cook,Atrium Health Care Center,97,10,Open,0.10309278350515463,1,COOK-ATRIUM HEALTH CARE CENTER,145479
2020-06-12,Cook,Austin Oasis,101,8,Open,0.07920792079207921,1,COOK-AUSTIN OASIS,145834
2020-06-12,Cook,Autumn Green at Wright Campus,2,0,Open,0.0,1,COOK-AUTUMN GREEN AT WRIGHT CAMPUS,No Match
2020-06-12,Cook,Avantara Evergreen Park,76,20,Open,0.2631578947368421,1,COOK-AVANTARA EVERGREEN PARK,145734
2020-06-12,Cook,Avantara Park Ridge,4,2,Open,0.5,1,COOK-AVANTARA PARK RIDGE,145667
2020-06-12,Cook,Avanti Wellness & Rehabilitation ,87,16,Open,0.1839080459770115,1,COOK-AVANTI WELLNESS & REHABILITATION ,No Match
2020-06-12,Cook,Avenues to Independence,11,0,Open,0.0,1,COOK-AVENUES TO INDEPENDENCE,No Match
2020-06-12,Cook,Balmoral Home,20,0,Open,0.0,1,COOK-BALMORAL HOME,145796
