County,FacilityName,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,Ludeman Developmental Center,2020-08-21,263,9,0.034220532319391636,1,1
Cook,City View Multi Care Center,2020-08-21,253,14,0.05533596837944664,1,1
Lake,Captain James A Lovell FHCC CLC,2020-08-21,234,6,0.02564102564102564,1,1
Lake,Avantara Long Grove,2020-08-21,221,35,0.1583710407239819,1,1
Cook,Woodbridge Nursing Pavilion,2020-08-21,219,40,0.182648401826484,1,1
Cook,Symphony at Midway,2020-08-21,218,27,0.12385321100917432,1,1
Cook,Peterson Park Health Care,2020-08-21,213,35,0.1643192488262911,1,1
Cook,Niles Nursing and Rehab Center,2020-08-21,210,49,0.23333333333333334,1,1
Cook,Glenview Terrace,2020-08-21,196,35,0.17857142857142858,1,1
Cook,Symphony of Morgan Park,2020-08-21,192,26,0.13541666666666666,1,1
Will,Meadowbrook Manor of Bolingbrook,2020-08-21,188,41,0.21808510638297873,1,1
Cook,Symphony of South Shore,2020-08-21,185,28,0.15135135135135136,1,1
Cook,Symphony of Lincoln Park,2020-08-21,185,30,0.16216216216216217,1,1
Kankakee,Samuel H. Shapiro Developmental Center,2020-08-21,179,1,0.00558659217877095,1,1
Cook,Elevate Care Chicago North,2020-08-21,176,34,0.19318181818181818,1,1
Cook,Symphony at 87th,2020-08-21,171,34,0.19883040935672514,1,1
DuPage,Manorcare Hinsdale,2020-08-21,168,33,0.19642857142857142,1,1
Kane,Tower Hill Healthcare Center,2020-08-21,168,30,0.17857142857142858,1,1
Cook,Norridge Gardens,2020-08-21,166,44,0.26506024096385544,1,1
Cook,Villa at Windsor Park,2020-08-21,164,48,0.2926829268292683,1,1
Cook,Mayfield Care Center,2020-08-21,156,23,0.14743589743589744,2,1
Cook,California Gardens Nursing and Rehabilitation Cent,2020-08-21,155,5,0.03225806451612903,1,1
DuPage,Bria of Westmont,2020-08-21,152,28,0.18421052631578946,1,1
Cook,Fairmont Care,2020-08-21,151,32,0.2119205298013245,1,1
Cook,Aperion Care International of Chicago,2020-08-21,144,25,0.1736111111111111,1,1
Cook,Bria Forest Edge,2020-08-21,142,2,0.014084507042253521,1,1
Cook,Midway Neuro and Rehab,2020-08-21,138,12,0.08695652173913043,1,1
