County,FacilityName,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,Ludeman Developmental Center,2020-06-12,325,10,0.03076923076923077,1,1
Cook,City View Multi Care Center,2020-06-12,245,14,0.05714285714285714,1,1
Cook,Woodbridge Nursing Pavilion,2020-06-12,221,35,0.1583710407239819,1,1
Cook,Symphony at Midway,2020-06-12,214,22,0.102803738317757,1,1
Cook,Peterson Park Health Care,2020-06-12,210,34,0.1619047619047619,1,1
Lake,Avantara Long Grove,2020-06-12,198,26,0.13131313131313133,1,1
Cook,Symphony of Morgan Park,2020-06-12,196,24,0.12244897959183673,1,1
Will,Meadowbrook Manor of Bolingbrook,2020-06-12,188,40,0.2127659574468085,1,1
Cook,Symphony of South Shore,2020-06-12,186,25,0.13440860215053763,1,1
Cook,Niles Nursing and Rehab Center,2020-06-12,184,41,0.22282608695652173,1,1
Cook,Symphony of Lincoln Park,2020-06-12,181,25,0.13812154696132597,1,1
Cook,Elevate Care Chicago North,2020-06-12,176,32,0.18181818181818182,1,1
DuPage,Manorcare Hinsdale,2020-06-12,168,30,0.17857142857142858,1,1
Cook,Villa at Windsor Park,2020-06-12,161,43,0.2670807453416149,1,1
Cook,Glenview Terrace,2020-06-12,161,31,0.19254658385093168,1,1
Cook,Symphony at 87th,2020-06-12,160,23,0.14375,1,1
Cook,California Gardens Nursing and Rehabilitation Cent,2020-06-12,158,5,0.03164556962025317,1,1
Cook,Mayfield Care Center,2020-06-12,154,21,0.13636363636363635,1,1
Cook,Fairmont Care,2020-06-12,141,27,0.19148936170212766,1,1
Kankakee,Samuel H. Shapiro Developmental Center,2020-06-12,141,1,0.0070921985815602835,1,1
Kane,Tower Hill Healthcare Center,2020-06-12,139,20,0.14388489208633093,1,1
Cook,Bria Forest Edge,2020-06-12,138,2,0.014492753623188406,1,1
DuPage,Bria of Westmont,2020-06-12,133,21,0.15789473684210525,1,1
Will,symphony of joliet,2020-06-12,132,25,0.1893939393939394,1,1
Cook,Harmony Healthcare and Rehab,2020-06-12,132,25,0.1893939393939394,1,1
Cook,Mosaic of Lakeshore,2020-06-12,128,27,0.2109375,1,1
Kane,Bria of Geneva,2020-06-12,124,27,0.21774193548387097,1,1
Cook,Uptown Health Center,2020-06-12,122,17,0.13934426229508196,1,1
Sangamon,Villa East,2020-06-12,119,25,0.21008403361344538,1,1
Cook,Midway Neuro and Rehab,2020-06-12,118,10,0.0847457627118644,1,1
Cook,Carlton at the Lake,2020-06-12,117,17,0.1452991452991453,1,1
DuPage,Forestview Rehabilitation & Nursing Center,2020-06-12,114,10,0.08771929824561403,1,1
Kane,Symphony of Orchard Valley,2020-06-12,114,22,0.19298245614035087,1,1
Cook,Aperion Care International of Chicago,2020-06-12,113,20,0.17699115044247787,1,1
Cook,Generations at Regency,2020-06-12,108,27,0.25,1,1
Cook,Golfview Developmental Center,2020-06-12,107,11,0.102803738317757,1,1
Cook,Astoria Place of Chicago,2020-06-12,105,20,0.19047619047619047,1,1
St. Clair,Four Fountains,2020-06-12,104,26,0.25,1,1
Cook,ManorCare ElkGrove Village,2020-06-12,104,21,0.20192307692307693,1,1
Cook,Clark Manor,2020-06-12,102,12,0.11764705882352941,1,1
Cook,Austin Oasis,2020-06-12,101,8,0.07920792079207921,1,1
Cook,Ambassador Nursing,2020-06-12,101,11,0.10891089108910891,1,1
DuPage,Windsor Park Manor,2020-06-12,99,21,0.21212121212121213,1,1
Cook,Central Nursing Home,2020-06-12,98,17,0.17346938775510204,1,1
Cook,Atrium Health Care Center,2020-06-12,97,10,0.10309278350515463,1,1
DuPage,Oakbrook Care,2020-06-12,95,21,0.22105263157894736,1,1
Madison,Edwardsville Care Center,2020-06-12,94,22,0.23404255319148937,1,1
DuPage,Alden Estates of Naperville,2020-06-12,94,21,0.22340425531914893,1,1
Cook,Addolorata Villa,2020-06-12,93,14,0.15053763440860216,1,1
Macon,Fairhavens Senior Living,2020-06-12,93,21,0.22580645161290322,1,1
Cook,Bria River Oaks,2020-06-12,91,2,0.02197802197802198,1,1
Cook,Chalet Living And Rehab Center,2020-06-12,89,12,0.1348314606741573,1,1
Cook,Landmark of Des Plaines,2020-06-12,88,21,0.23863636363636365,1,1
Cook,Bria of Palos Hills,2020-06-12,88,13,0.14772727272727273,1,1
Cook,Center Home for Hispanic Elderly,2020-06-12,88,30,0.3409090909090909,1,1
Lake,Aperion Care Highwood,2020-06-12,88,9,0.10227272727272728,1,1
Cook,Avanti Wellness & Rehabilitation ,2020-06-12,87,16,0.1839080459770115,1,1
Cook,Aperion Care Oak Lawn,2020-06-12,87,20,0.22988505747126436,1,1
Boone,Symphony Northwoods,2020-06-12,87,13,0.14942528735632185,1,1
Cook,Generations at Elmwood Park,2020-06-12,87,17,0.19540229885057472,1,1
