County,FacilityName,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,Ludeman Developmental Center,No Match,2020-07-10,331,10,0.030211480362537766,1,0,1,1
Cook,City View Multi Care Center,145850,2020-07-10,252,14,0.05555555555555555,1,0,1,1
Cook,Woodbridge Nursing Pavilion,145792,2020-07-10,228,37,0.16228070175438597,1,0,1,1
Cook,Symphony at Midway,145995,2020-07-10,222,26,0.11711711711711711,1,0,1,1
Cook,Peterson Park Health Care,145838,2020-07-10,220,35,0.1590909090909091,1,0,1,1
Lake,Avantara Long Grove,145868,2020-07-10,219,32,0.1461187214611872,1,0,1,1
Cook,Niles Nursing and Rehab Center,145696,2020-07-10,206,47,0.22815533980582525,1,0,1,1
Cook,Symphony of Morgan Park,145764,2020-07-10,199,24,0.12060301507537688,1,0,1,1
Cook,Glenview Terrace,145268,2020-07-10,193,35,0.18134715025906736,1,0,1,1
Cook,Symphony of South Shore,145977,2020-07-10,192,26,0.13541666666666666,1,0,1,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2020-07-10,188,40,0.2127659574468085,1,0,1,1
Cook,Elevate Care Chicago North,145484,2020-07-10,185,33,0.1783783783783784,1,0,1,1
Cook,Symphony of Lincoln Park,145510,2020-07-10,181,29,0.16022099447513813,1,0,1,1
Cook,Symphony at 87th,145983,2020-07-10,169,34,0.20118343195266272,1,0,1,1
DuPage,Manorcare Hinsdale,145246,2020-07-10,168,32,0.19047619047619047,1,0,1,1
Cook,Villa at Windsor Park,145970,2020-07-10,165,45,0.2727272727272727,1,0,1,1
Kane,Tower Hill Healthcare Center,145795,2020-07-10,164,30,0.18292682926829268,1,0,1,1
Cook,Norridge Gardens,145329,2020-07-10,161,44,0.2732919254658385,1,0,1,1
Cook,California Gardens Nursing and Rehabilitation Cent,145625,2020-07-10,158,5,0.03164556962025317,1,0,1,1
Cook,Mayfield Care Center,145885,2020-07-10,156,23,0.14743589743589744,1,0,1,1
Cook,Fairmont Care,145867,2020-07-10,152,31,0.20394736842105263,1,0,1,1
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2020-07-10,141,1,0.0070921985815602835,1,0,1,1
Cook,Bria Forest Edge,145864,2020-07-10,140,2,0.014285714285714285,1,0,1,1
Cook,Harmony Healthcare and Rehab,145775,2020-07-10,138,29,0.21014492753623187,1,0,1,1
DuPage,Bria of Westmont,145405,2020-07-10,133,25,0.18796992481203006,1,0,1,1
Cook,Mosaic of Lakeshore,145244,2020-07-10,132,28,0.21212121212121213,1,0,1,1
Will,symphony of joliet,145372,2020-07-10,130,25,0.19230769230769232,1,1,0,1
Cook,Generations at Regency,145237,2020-07-10,129,30,0.23255813953488372,1,0,1,1
Cook,Carlton at the Lake,145679,2020-07-10,126,19,0.15079365079365079,1,0,1,1
Cook,Uptown Health Center,145881,2020-07-10,125,17,0.136,1,0,1,1
Kane,Bria of Geneva,146067,2020-07-10,124,26,0.20967741935483872,1,0,1,1
Cook,Aperion Care International of Chicago,146001,2020-07-10,123,22,0.17886178861788618,1,0,1,1
Cook,Midway Neuro and Rehab,145778,2020-07-10,122,11,0.09016393442622951,1,0,1,1
Sangamon,Villa East,145721,2020-07-10,122,26,0.21311475409836064,1,1,0,1
DuPage,Forestview Rehabilitation & Nursing Center,145752,2020-07-10,120,15,0.125,1,0,1,1
Cook,Clark Manor,145507,2020-07-10,120,14,0.11666666666666667,1,0,1,1
DuPage,West Suburban Nursing & Rehabilitation Center,145333,2020-07-10,118,15,0.1271186440677966,1,0,1,1
Kane,Symphony of Orchard Valley,145473,2020-07-10,115,24,0.20869565217391303,1,0,1,1
