reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks
2020-07-10,Adams,Chaddock,3,0,Open,0.0,1
2020-07-10,Adams,Illinois Veterans Home,3,0,Open,0.0,1
2020-07-10,Bond,Greenville Nursing & Rehab,3,0,Open,0.0,1
2020-07-10,Boone,Park Place of Belvidere,6,0,Open,0.0,1
2020-07-10,Boone,Symphony Northwoods,87,14,Open,0.16091954022988506,1
2020-07-10,Cass,Walker Nursing Home,54,7,Open,0.12962962962962962,1
2020-07-10,Champaign,Champaign-Urbana Nursing and Rehab,3,0,Open,0.0,1
2020-07-10,Champaign,Reflections Memory Care,31,4,Open,0.12903225806451613,1
2020-07-10,Champaign,University Rehab Center,5,0,Closed,0.0,1
2020-07-10,Christian,Villas of Holly Brook,2,0,Closed,0.0,1
2020-07-10,Clinton,Carlyle HealthCare Center,85,16,Open,0.18823529411764706,1
2020-07-10,Clinton,Clinton Manor Living Facility,29,1,Open,0.034482758620689655,1
2020-07-10,Clinton,Villa Catherine,7,0,Closed,0.0,1
2020-07-10,Clinton,Warrren G Murray Develpmental Center,61,0,Open,0.0,1
2020-07-10,Coles,Charleston Rehab and Healthcare,91,16,Open,0.17582417582417584,1
2020-07-10,Coles,Mattoon Healthcare,2,0,Open,0.0,1
2020-07-10,Cook,Abington of Glenview,12,1,Open,0.08333333333333333,1
2020-07-10,Cook,Addolorata Villa,105,17,Open,0.1619047619047619,1
2020-07-10,Cook,Albany Care,14,0,Open,0.0,1
2020-07-10,Cook,Alden Estates Des Plaines,13,2,Open,0.15384615384615385,1
2020-07-10,Cook,Alden Estates of Barrington,9,0,Open,0.0,1
2020-07-10,Cook,Alden Estates of Evanston,15,2,Open,0.13333333333333333,1
2020-07-10,Cook,Alden Estates of Northmoor,83,19,Open,0.2289156626506024,1
2020-07-10,Cook,Alden Estates of Orland Park,32,13,Open,0.40625,1
2020-07-10,Cook,Alden Estates of Skokie,5,0,Open,0.0,1
2020-07-10,Cook,Alden Lakeland,17,2,Open,0.11764705882352941,1
2020-07-10,Cook,Alden Lincoln Park Rehab,74,11,Open,0.14864864864864866,1
2020-07-10,Cook,Alden North Shore,3,1,Open,0.3333333333333333,1
2020-07-10,Cook,Alden PoplarCreek,48,10,Open,0.20833333333333334,1
2020-07-10,Cook,Alden Princeton Rehab & Health,52,10,Open,0.19230769230769232,1
2020-07-10,Cook,Alden Town Manor Care,7,0,Open,0.0,1
2020-07-10,Cook,Alden Village North,6,0,Open,0.0,1
2020-07-10,Cook,Alden Wentworth  Rehab & Healthcare Center,69,15,Open,0.21739130434782608,1
2020-07-10,Cook,All American Nursing Home,43,4,Open,0.09302325581395349,1
2020-07-10,Cook,All Saints,2,0,Open,0.0,1
2020-07-10,Cook,Ambassador Nursing,114,11,Open,0.09649122807017543,1
2020-07-10,Cook,AMITA Health Holy Family Medical Center ,24,1,Open,0.041666666666666664,1
2020-07-10,Cook,Aperion Care Burbank,5,1,Closed,0.2,1
2020-07-10,Cook,Aperion Care Chicago Heights,15,1,Open,0.06666666666666667,1
2020-07-10,Cook,Aperion Care Dolton,30,5,Open,0.16666666666666666,1
2020-07-10,Cook,Aperion Care Evanston,25,2,Open,0.08,1
2020-07-10,Cook,Aperion Care Forest Park,28,3,Open,0.10714285714285714,1
2020-07-10,Cook,Aperion Care International of Chicago,123,22,Open,0.17886178861788618,1
2020-07-10,Cook,Aperion Care Midlothian,5,0,Open,0.0,1
2020-07-10,Cook,Aperion Care Oak Lawn,91,21,Open,0.23076923076923078,1
2020-07-10,Cook,Aperion Care Plum Grove,58,19,Open,0.3275862068965517,1
2020-07-10,Cook,Aperion Care West Ridge,33,13,Open,0.3939393939393939,1
2020-07-10,Cook,Arbour Health Care Center,61,3,Open,0.04918032786885246,1
2020-07-10,Cook,Arden Courts/Manor Care of South Holland ,51,6,Open,0.11764705882352941,1
2020-07-10,Cook,Arden Courts of Elk Grove,31,8,Open,0.25806451612903225,1
2020-07-10,Cook,Arden Courts of Palos Heights,55,10,Open,0.18181818181818182,1
2020-07-10,Cook,Artis Senior Living of Lakeview,34,8,Open,0.23529411764705882,1
2020-07-10,Cook,Asbury Court Senior Living,6,1,Open,0.16666666666666666,1
2020-07-10,Cook,Aspire Living Prospect Heights,13,0,Open,0.0,1
2020-07-10,Cook,Astoria Place of Chicago,105,21,Open,0.2,1
2020-07-10,Cook,Atria Glenview,4,0,Open,0.0,1
2020-07-10,Cook,Atrium Health Care Center,102,10,Open,0.09803921568627451,1
2020-07-10,Cook,Austin Oasis,110,14,Open,0.12727272727272726,1
2020-07-10,Cook,Autumn Green at Wright Campus,2,0,Open,0.0,1
2020-07-10,Cook,Avantara Evergreen Park,79,21,Open,0.26582278481012656,1
2020-07-10,Cook,Avantara Park Ridge,4,2,Open,0.5,1
2020-07-10,Cook,Avanti Wellness & Rehabilitation ,96,17,Open,0.17708333333333334,1
2020-07-10,Cook,Avenues to Independence,14,0,Open,0.0,1
2020-07-10,Cook,Balmoral Home,21,0,Open,0.0,1
2020-07-10,Cook,Barton Senior Living,2,0,Open,0.0,1
2020-07-10,Cook,Beacon Care Center,87,14,Open,0.16091954022988506,1
2020-07-10,Cook,Beechwood Manor,3,0,Open,0.0,1
2020-07-10,Cook,Bella Terra Morton Grove,65,10,Open,0.15384615384615385,1
2020-07-10,Cook,Bella Terra Streamwood,14,2,Open,0.14285714285714285,1
2020-07-10,Cook,Bella Terra Wheeling,35,7,Open,0.2,1
2020-07-10,Cook,Bellhaven Nursing and Rehabilitation,90,9,Open,0.1,1
2020-07-10,Cook,Bellwood Development Center,2,0,Closed,0.0,1
2020-07-10,Cook,Belmont Oak Park,6,2,Closed,0.3333333333333333,1
2020-07-10,Cook,Belmont Village Senior Living of Glenview,24,4,Open,0.16666666666666666,1
2020-07-10,Cook,Berkeley Nursing and Rehabilitation Center,4,3,Closed,0.75,1
2020-07-10,Cook,Bethesda Rehab and Senior Care,39,6,Open,0.15384615384615385,1
2020-07-10,Cook,Bickford of Tinley Park,2,0,Open,0.0,1
2020-07-10,Cook,Birchwood Plaza Nursing-Rehab,82,14,Open,0.17073170731707318,1
2020-07-10,Cook,Brandel Care Center,10,0,Open,0.0,1
2020-07-10,Cook,Bria Forest Edge,140,2,Open,0.014285714285714285,1
2020-07-10,Cook,BRIA of Chicago Heights,53,1,Open,0.018867924528301886,1
2020-07-10,Cook,Bria of Palos Hills,98,17,Open,0.17346938775510204,1
2020-07-10,Cook,Bria Place of Indian Head Park,31,6,Open,0.1935483870967742,1
2020-07-10,Cook,Bria River Oaks,99,2,Open,0.020202020202020204,1
2020-07-10,Cook,Bridgeview HC,56,15,Open,0.26785714285714285,1
2020-07-10,Cook,Brookdale Assisted living,5,1,Closed,0.2,1
2020-07-10,Cook,Brookdale Des Plaines,20,6,Open,0.3,1
2020-07-10,Cook,Brookdale Hoffman Estates,8,0,Open,0.0,1
2020-07-10,Cook,Brookdale - Lake Shore,8,0,Open,0.0,1
2020-07-10,Cook,Brookdale Northbrook ,4,3,Open,0.75,1
2020-07-10,Cook,Brookdale Orland Park,14,6,Open,0.42857142857142855,1
2020-07-10,Cook,Brookdale Prospect Heights,6,0,Open,0.0,1
2020-07-10,Cook,Brookdale Senior Living of Chicago,4,0,Open,0.0,1
2020-07-10,Cook,Bryn Mawr Care,13,0,Open,0.0,1
2020-07-10,Cook,Buckingham Pavilion,72,13,Open,0.18055555555555555,1
2020-07-10,Cook,Burbank Rehab - Vera Care Stickney,32,10,Open,0.3125,1
2020-07-10,Cook,California Gardens Nursing and Rehabilitation Cent,158,5,Open,0.03164556962025317,1
2020-07-10,Cook,Carlton at the Lake,126,19,Open,0.15079365079365079,1
2020-07-10,Cook,Center Home for Hispanic Elderly,91,30,Open,0.32967032967032966,1
2020-07-10,Cook,Central Baptist Village,10,0,Open,0.0,1
2020-07-10,Cook,Central Nursing Home,109,17,Open,0.1559633027522936,1
2020-07-10,Cook,Chalet Living And Rehab Center,94,14,Open,0.14893617021276595,1
2020-07-10,Cook,Chicago Ridge Nursing and Rehab,54,16,Open,0.2962962962962963,1
2020-07-10,Cook,Citadel of Northbrook,27,2,Open,0.07407407407407407,1
2020-07-10,Cook,Citadel of Skokie,4,2,Open,0.5,1
2020-07-10,Cook,Citadel of Warren Park,24,4,Open,0.16666666666666666,1
2020-07-10,Cook,Citadel of Waterford,66,14,Open,0.21212121212121213,1
2020-07-10,Cook,Citadel of Wilmette,17,5,Open,0.29411764705882354,1
2020-07-10,Cook,City View Multi Care Center,252,14,Open,0.05555555555555555,1
2020-07-10,Cook,Clark Manor,120,14,Open,0.11666666666666667,1
2020-07-10,Cook,Clear Oaks Senior Living,3,0,Open,0.0,1
2020-07-10,Cook,Community Care Nursing Home,85,9,Open,0.10588235294117647,1
2020-07-10,Cook,Continental Nursing and Rehabilitation Center,78,12,Open,0.15384615384615385,1
2020-07-10,Cook,Country Club Terrace,8,0,Open,0.0,1
2020-07-10,Cook,Countryside Nursing and Rehab Center,54,8,Open,0.14814814814814814,1
2020-07-10,Cook,Covenant Enabling Residence,5,0,Closed,0.0,1
2020-07-10,Cook,Covenant Home of Chicago,2,0,Open,0.0,1
2020-07-10,Cook,"David Webb, Jr. Senior Living Complex",3,2,Open,0.6666666666666666,1
2020-07-10,Cook,Dobson Plaza,75,21,Open,0.28,1
2020-07-10,Cook,Edward Hines VA Community Living Center,20,3,Open,0.15,1
2020-07-10,Cook,Elevate Care Chicago North,185,33,Open,0.1783783783783784,1
2020-07-10,Cook,Elevate Care Irving Park,70,13,Open,0.18571428571428572,1
2020-07-10,Cook,Elevate Care Niles,11,5,Open,0.45454545454545453,1
2020-07-10,Cook,Elevate Care Northbrook,72,15,Open,0.20833333333333334,1
2020-07-10,Cook,Elevate Care South Holland,19,6,Open,0.3157894736842105,1
2020-07-10,Cook,Elevate Saint Andrew,42,9,Open,0.21428571428571427,1
2020-07-10,Cook,Emerald Place Memory Care,11,2,Open,0.18181818181818182,1
2020-07-10,Cook,Estates of Hyde Park,49,12,Open,0.24489795918367346,1
2020-07-10,Cook,Evergreen Senior Living,10,4,Open,0.4,1
2020-07-10,Cook,Fairmont Care,152,31,Open,0.20394736842105263,1
2020-07-10,Cook,Foster Health & Rehab,32,7,Open,0.21875,1
2020-07-10,Cook,Franciscan Village,5,0,Open,0.0,1
2020-07-10,Cook,Friendship Village LTC,18,5,Open,0.2777777777777778,1
2020-07-10,Cook,Generations at Applewood,80,19,Open,0.2375,1
2020-07-10,Cook,Generations at Elmwood Park,89,19,Open,0.21348314606741572,1
2020-07-10,Cook,Generations At Oakton,55,13,Open,0.23636363636363636,1
2020-07-10,Cook,Generations at Regency,129,30,Open,0.23255813953488372,1
2020-07-10,Cook,Glenview Terrace,193,35,Open,0.18134715025906736,1
2020-07-10,Cook,Glenwood Health Care & Rehab,88,5,Open,0.056818181818181816,1
