County,FacilityName,confirmed_cases,deaths,status,reporting_date,% deaths
Adams,Adams Pointe Senior Living,4,0,Closed,2020-09-25,0.0
Adams,Bradford Villa,8,1,Open,2020-09-25,0.125
Adams,Golden Good Shepperd Home,15,0,Open,2020-09-25,0.0
Adams,Good Samaritan Home,7,1,Open,2020-09-25,0.14285714285714285
Adams,Illinois Veterans Home,45,2,Open,2020-09-25,0.044444444444444446
Adams,Senior Center,4,2,Open,2020-09-25,0.5
Bond,Cedarhurst of Greenville,19,0,Open,2020-09-25,0.0
Bond,Greenville Nursing & Rehab,10,0,Open,2020-09-25,0.0
Boone,Park Place of Belvidere,6,0,Closed,2020-09-25,0.0
Boone,Symphony Northwoods,89,16,Closed,2020-09-25,0.1797752808988764
Bureau,Aperion Care- Princeton,15,1,Open,2020-09-25,0.06666666666666667
Bureau,St. Margarets Living Center,3,0,Open,2020-09-25,0.0
Carroll,Big Meadows Nursing Home,26,2,Open,2020-09-25,0.07692307692307693
Cass,Heritage Health,8,0,Open,2020-09-25,0.0
Cass,Walker Nursing Home,57,11,Closed,2020-09-25,0.19298245614035087
Champaign,Bickford Senior Living,10,0,Open,2020-09-25,0.0
Champaign,Champaign Urbana Nursing and Rehab,5,0,Open,2020-09-25,0.0
Champaign,Champaign-Urbana Nursing and Rehab,4,1,Closed,2020-09-25,0.25
Champaign,Country Health and Rehab,7,0,Open,2020-09-25,0.0
Champaign,DSC Service Center,2,0,Open,2020-09-25,0.0
Champaign,Green House Homes at Clark-Lindsey,2,0,Closed,2020-09-25,0.0
Champaign,Illini Heritage Rehab and Health,2,0,Closed,2020-09-25,0.0
Champaign,Meadowbrook at Clark-Lindsey,2,0,Open,2020-09-25,0.0
Champaign,Reflections Memory Care,28,4,Closed,2020-09-25,0.14285714285714285
Champaign,University Rehab Center,5,0,Closed,2020-09-25,0.0
Champaign,Villas of Hollybrook-Rantoul,5,0,Closed,2020-09-25,0.0
Christian,Heritage Health of Pana,2,0,Open,2020-09-25,0.0
Christian,Lifes Journey,8,2,Open,2020-09-25,0.25
Christian,Prairie Rose,2,0,Open,2020-09-25,0.0
Christian,taylorville care center,6,0,Open,2020-09-25,0.0
Christian,Taylorville Estates,2,0,Open,2020-09-25,0.0
Christian,Taylorville Hickory Estates,2,0,Open,2020-09-25,0.0
Christian,Taylorville Skilled Nursing (fka Meadow Manor),53,4,Open,2020-09-25,0.07547169811320754
Christian,Villas of Holly Brook,2,0,Closed,2020-09-25,0.0
Clark,Heartland Manor Nursing home,5,0,Open,2020-09-25,0.0
Clark,Marshall Rehab,3,0,Open,2020-09-25,0.0
Clark,Villas of Holly Brook Marshall,8,0,Open,2020-09-25,0.0
Clinton,Carlyle Healthcare Center,6,0,Open,2020-09-25,0.0
Clinton,Carlyle HealthCare Center,85,15,Closed,2020-09-25,0.17647058823529413
Clinton,Clinton Manor Living Facility,10,0,Open,2020-09-25,0.0
Clinton,Clinton Manor Living Facility,31,1,Closed,2020-09-25,0.03225806451612903
Clinton,Community Link Assisted Living Facility Aviston,2,0,Open,2020-09-25,0.0
Clinton,Villa Catherine,7,0,Closed,2020-09-25,0.0
Clinton,Warren G Murray Developmental Center,2,0,Closed,2020-09-25,0.0
Clinton,Warren G. Murray Developmental Center,2,0,Open,2020-09-25,0.0
Clinton,Warrren G Murray Develpmental Center,62,0,Closed,2020-09-25,0.0
Coles,Charleston Rehab and Healthcare,95,16,Closed,2020-09-25,0.16842105263157894
Coles,Hilltop Skilled Nursing,67,4,Open,2020-09-25,0.05970149253731343
Coles,Mattoon Healthcare,2,0,Closed,2020-09-25,0.0
Coles,Mattoon Healthcare,3,0,Closed,2020-09-25,0.0
Coles,Odd Fellow Rebekah,28,5,Open,2020-09-25,0.17857142857142858
Coles,Villas of Holly,7,0,Closed,2020-09-25,0.0
Cook,Autumn Green at Midway Village,3,0,Closed,2020-09-25,0.0
Cook,Abington of Glenview,11,1,Closed,2020-09-25,0.09090909090909091
Cook,Addolorata Villa,109,20,Open,2020-09-25,0.1834862385321101
Cook,Albany Care,13,0,Open,2020-09-25,0.0
Cook,Alden Estates Des Plaines,13,2,Open,2020-09-25,0.15384615384615385
Cook,Alden Estates of Barrington,15,0,Open,2020-09-25,0.0
Cook,Alden Estates of Evanston,18,2,Closed,2020-09-25,0.1111111111111111
Cook,Alden Estates of Northmoor,91,18,Open,2020-09-25,0.1978021978021978
Cook,Alden Estates of Orland Park,41,13,Open,2020-09-25,0.3170731707317073
Cook,Alden Estates of Skokie,6,0,Closed,2020-09-25,0.0
Cook,Alden Estates of Skokie ,3,0,Open,2020-09-25,0.0
Cook,Alden Lakeland,14,2,Closed,2020-09-25,0.14285714285714285
Cook,Alden Lakeland,16,0,Closed,2020-09-25,0.0
Cook,Alden Lincoln Park Rehab,74,12,Closed,2020-09-25,0.16216216216216217
Cook,Alden North Shore,2,0,Closed,2020-09-25,0.0
Cook,Alden North Shore ,4,0,Open,2020-09-25,0.0
Cook,Alden PoplarCreek,85,25,Open,2020-09-25,0.29411764705882354
Cook,Alden Princeton Rehab & Health,56,12,Closed,2020-09-25,0.21428571428571427
Cook,Alden Town Manor Care,7,0,Open,2020-09-25,0.0
Cook,Alden Village North,6,0,Closed,2020-09-25,0.0
Cook,Alden Village North,8,0,Open,2020-09-25,0.0
Cook,Alden Wentworth  Rehab & Healthcare Center,73,15,Open,2020-09-25,0.2054794520547945
Cook,All American Nursing Home,50,4,Closed,2020-09-25,0.08
Cook,All Saints,3,0,Closed,2020-09-25,0.0
Cook,Ambassador Nursing,116,10,Open,2020-09-25,0.08620689655172414
Cook,AMITA Health Holy Family Medical Center ,30,1,Open,2020-09-25,0.03333333333333333
Cook,Aperion Care Burbank,5,1,Closed,2020-09-25,0.2
Cook,Aperion Care Chicago Heights,20,1,Open,2020-09-25,0.05
Cook,Aperion Care Dolton,34,6,Open,2020-09-25,0.17647058823529413
Cook,Aperion Care Evanston,25,2,Closed,2020-09-25,0.08
Cook,Aperion Care Forest Park,52,5,Open,2020-09-25,0.09615384615384616
Cook,Aperion Care International of Chicago,148,26,Open,2020-09-25,0.17567567567567569
