reporting_date,County,FacilityName,confirmed_cases,deaths,ReportDate,status,CFR,outbreaks,county-facName,CMS_ProvNum
2021-01-15,Adams,Chaddock,11,0,2021-01-15T00:00:00,Open,0.0,1,ADAMS-CHADDOCK,No Match
2021-01-15,Adams,Illinois Veterans Home Quincy,239,14,2021-01-15T00:00:00,Open,0.058577405857740586,1,ADAMS-ILLINOIS VETERANS HOME QUINCY,No Match
2021-01-15,Adams,Good Samaritan Home,57,1,2021-01-15T00:00:00,Open,0.017543859649122806,1,ADAMS-GOOD SAMARITAN HOME,145773
2021-01-15,Adams,Adams Pointe Senior Living,4,0,2021-01-15T00:00:00,Closed,0.0,1,ADAMS-ADAMS POINTE SENIOR LIVING,No Match
2021-01-15,Adams,Bradford Villa,8,1,2021-01-15T00:00:00,Closed,0.125,1,ADAMS-BRADFORD VILLA,No Match
2021-01-15,Adams,Golden Good Shepperd Home,54,9,2021-01-15T00:00:00,Closed,0.16666666666666666,1,ADAMS-GOLDEN GOOD SHEPPERD HOME,No Match
2021-01-15,Adams,Sunset Home,51,7,2021-01-15T00:00:00,Open,0.13725490196078433,1,ADAMS-SUNSET HOME,145800
2021-01-15,Adams,St Vincents Nursing Home,101,17,2021-01-15T00:00:00,Open,0.16831683168316833,1,ADAMS-ST VINCENTS NURSING HOME,145457
2021-01-15,Adams,Cedarhurst,26,1,2021-01-15T00:00:00,Closed,0.038461538461538464,1,ADAMS-CEDARHURST,No Match
2021-01-15,Adams,Timberpoint Health Care Center,35,9,2021-01-15T00:00:00,Open,0.2571428571428571,1,ADAMS-TIMBERPOINT HEALTH CARE CENTER,No Match
2021-01-15,Adams,Quincy Terrace,16,1,2021-01-15T00:00:00,Open,0.0625,1,ADAMS-QUINCY TERRACE,No Match
2021-01-15,Adams,Bickford Cottage (2),7,0,2021-01-15T00:00:00,Open,0.0,1,ADAMS-BICKFORD COTTAGE (2),No Match
2021-01-15,Adams,Bradford Villa (2),13,0,2021-01-15T00:00:00,Open,0.0,1,ADAMS-BRADFORD VILLA (2),No Match
2021-01-15,Adams,Senior Center (2),11,0,2021-01-15T00:00:00,Open,0.0,1,ADAMS-SENIOR CENTER (2),No Match
2021-01-15,Adams,Blessing Hospital SNU (2),5,0,2021-01-15T00:00:00,Open,0.0,1,ADAMS-BLESSING HOSPITAL SNU (2),No Match
2021-01-15,Bond,Greenville Nursing & Rehab,58,5,2021-01-15T00:00:00,Open,0.08620689655172414,1,BOND-GREENVILLE NURSING & REHAB,145909
2021-01-15,Bond,Cedarhurst of Greenville,18,3,2021-01-15T00:00:00,Closed,0.16666666666666666,1,BOND-CEDARHURST OF GREENVILLE,No Match
2021-01-15,Bond,The Glenwood,11,2,2021-01-15T00:00:00,Open,0.18181818181818182,1,BOND-THE GLENWOOD,No Match
2021-01-15,Bond,Fayco - Elm St Greenville,8,0,2021-01-15T00:00:00,Open,0.0,1,BOND-FAYCO - ELM ST GREENVILLE,No Match
2021-01-15,Boone,Symphony Northwoods,89,16,2021-01-15T00:00:00,Closed,0.1797752808988764,1,BOONE-SYMPHONY NORTHWOODS,No Match
2021-01-15,Boone,Park Place of Belvidere,6,0,2021-01-15T00:00:00,Closed,0.0,1,BOONE-PARK PLACE OF BELVIDERE,146071
2021-01-15,Boone,Heritage of Woods,5,1,2021-01-15T00:00:00,Closed,0.2,1,BOONE-HERITAGE OF WOODS,No Match
2021-01-15,Boone,Maple Crest Care Center,100,23,2021-01-15T00:00:00,Open,0.23,1,BOONE-MAPLE CREST CARE CENTER,145990
2021-01-15,Boone,Park Place,77,2,2021-01-15T00:00:00,Open,0.025974025974025976,1,BOONE-PARK PLACE,No Match
2021-01-15,Boone,Northwoods Care Center ,8,2,2021-01-15T00:00:00,Open,0.25,1,BOONE-NORTHWOODS CARE CENTER ,No Match
2021-01-15,Boone,Heritage Woods of Belvidere ,30,3,2021-01-15T00:00:00,Open,0.1,1,BOONE-HERITAGE WOODS OF BELVIDERE ,No Match
2021-01-15,Brown,Heritage Health,52,9,2021-01-15T00:00:00,Open,0.17307692307692307,1,BROWN-HERITAGE HEALTH,No Match
2021-01-15,Bureau,St. Margarets Living Center,3,0,2021-01-15T00:00:00,Closed,0.0,1,BUREAU-ST. MARGARETS LIVING CENTER,No Match
2021-01-15,Bureau,Aperion Care- Princeton,102,9,2021-01-15T00:00:00,Open,0.08823529411764706,1,BUREAU-APERION CARE- PRINCETON,145437
2021-01-15,Bureau,Heartland Heath care- Henry,12,2,2021-01-15T00:00:00,Open,0.16666666666666666,1,BUREAU-HEARTLAND HEATH CARE- HENRY,No Match
2021-01-15,Bureau,Liberty Village of Princeton,59,15,2021-01-15T00:00:00,Open,0.2542372881355932,1,BUREAU-LIBERTY VILLAGE OF PRINCETON,No Match
2021-01-15,Bureau,Aperion Care Spring Valley,132,15,2021-01-15T00:00:00,Open,0.11363636363636363,1,BUREAU-APERION CARE SPRING VALLEY,No Match
2021-01-15,Bureau,Heritage Health Care Walnut,41,6,2021-01-15T00:00:00,Open,0.14634146341463414,1,BUREAU-HERITAGE HEALTH CARE WALNUT,No Match
2021-01-15,Calhoun,Calhoun Nursing and Rehabilitation,2,0,2021-01-15T00:00:00,Closed,0.0,1,CALHOUN-CALHOUN NURSING AND REHABILITATION,No Match
2021-01-15,Carroll,Big Meadows Nursing Home,107,9,2021-01-15T00:00:00,Closed,0.08411214953271028,1,CARROLL-BIG MEADOWS NURSING HOME,14E701
2021-01-15,Carroll,Allure of Mount Carroll,50,8,2021-01-15T00:00:00,Open,0.16,1,CARROLL-ALLURE OF MOUNT CARROLL,145770
2021-01-15,Carroll,Pinnacle Place,2,0,2021-01-15T00:00:00,Open,0.0,1,CARROLL-PINNACLE PLACE,No Match
2021-01-15,Cass,Walker Nursing Home,57,11,2021-01-15T00:00:00,Closed,0.19298245614035087,1,CASS-WALKER NURSING HOME,146100
2021-01-15,Cass,Heritage Health,38,10,2021-01-15T00:00:00,Closed,0.2631578947368421,1,CASS-HERITAGE HEALTH,No Match
2021-01-15,Cass,Evergreen Place Supportive Living ,3,0,2021-01-15T00:00:00,Closed,0.0,1,CASS-EVERGREEN PLACE SUPPORTIVE LIVING ,No Match
2021-01-15,Champaign,University Rehab Center,5,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-UNIVERSITY REHAB CENTER,145364
2021-01-15,Champaign,Reflections Memory Care,28,4,2021-01-15T00:00:00,Closed,0.14285714285714285,1,CHAMPAIGN-REFLECTIONS MEMORY CARE,No Match
2021-01-15,Champaign,Champaign-Urbana Nursing and Rehab,4,1,2021-01-15T00:00:00,Closed,0.25,1,CHAMPAIGN-CHAMPAIGN-URBANA NURSING AND REHAB,145439
2021-01-15,Champaign,Villas of Hollybrook-Rantoul,5,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-VILLAS OF HOLLYBROOK-RANTOUL,No Match
2021-01-15,Champaign,Country Health and Rehab,7,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-COUNTRY HEALTH AND REHAB,145708
2021-01-15,Champaign,Green House Homes at Clark-Lindsey,2,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-GREEN HOUSE HOMES AT CLARK-LINDSEY,No Match
2021-01-15,Champaign,Illini Heritage Rehab and Health,2,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-ILLINI HERITAGE REHAB AND HEALTH,146017
2021-01-15,Champaign,Meadowbrook at Clark-Lindsey,7,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-MEADOWBROOK AT CLARK-LINDSEY,No Match
2021-01-15,Champaign,Champaign Urbana Nursing and Rehab,129,9,2021-01-15T00:00:00,Open,0.06976744186046512,1,CHAMPAIGN-CHAMPAIGN URBANA NURSING AND REHAB,145439
2021-01-15,Champaign,Bickford Senior Living,10,3,2021-01-15T00:00:00,Closed,0.3,1,CHAMPAIGN-BICKFORD SENIOR LIVING,No Match
2021-01-15,Champaign,University Rehabilitation Center,4,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-UNIVERSITY REHABILITATION CENTER,145364
2021-01-15,Champaign,Country Health and Rehab,2,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-COUNTRY HEALTH AND REHAB,145708
2021-01-15,Champaign,Brookdale Urbana,10,3,2021-01-15T00:00:00,Closed,0.3,1,CHAMPAIGN-BROOKDALE URBANA,No Match
2021-01-15,Champaign,Meadowbrook at Clark-Lindsey,35,2,2021-01-15T00:00:00,Open,0.05714285714285714,1,CHAMPAIGN-MEADOWBROOK AT CLARK-LINDSEY,No Match
2021-01-15,Champaign,Evergreen Place,12,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-EVERGREEN PLACE,No Match
2021-01-15,Champaign,Green House Homes at Clark-Lindsey,5,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-GREEN HOUSE HOMES AT CLARK-LINDSEY,No Match
2021-01-15,Champaign,Illini Heritage Rehab And Health,59,8,2021-01-15T00:00:00,Closed,0.13559322033898305,1,CHAMPAIGN-ILLINI HERITAGE REHAB AND HEALTH,146017
2021-01-15,Champaign,Arbor Rose of Tolono,23,2,2021-01-15T00:00:00,Closed,0.08695652173913043,1,CHAMPAIGN-ARBOR ROSE OF TOLONO,No Match
2021-01-15,Champaign,Autumn Fields-Savoy,8,1,2021-01-15T00:00:00,Closed,0.125,1,CHAMPAIGN-AUTUMN FIELDS-SAVOY,No Match
2021-01-15,Champaign,Eagles View Supportive Living and Memory Care,36,2,2021-01-15T00:00:00,Closed,0.05555555555555555,1,CHAMPAIGN-EAGLES VIEW SUPPORTIVE LIVING AND MEMORY CARE,No Match
2021-01-15,Champaign,University Rehab Center,47,1,2021-01-15T00:00:00,Open,0.02127659574468085,1,CHAMPAIGN-UNIVERSITY REHAB CENTER,145364
2021-01-15,Champaign,Prairie Winds of Urbana,18,1,2021-01-15T00:00:00,Open,0.05555555555555555,1,CHAMPAIGN-PRAIRIE WINDS OF URBANA,No Match
2021-01-15,Champaign,Country Health & Rehab,33,4,2021-01-15T00:00:00,Open,0.12121212121212122,1,CHAMPAIGN-COUNTRY HEALTH & REHAB,No Match
2021-01-15,Champaign,Windsor At Savoy,15,1,2021-01-15T00:00:00,Open,0.06666666666666667,1,CHAMPAIGN-WINDSOR AT SAVOY,No Match
2021-01-15,Champaign,Swann Special Care Center,16,0,2021-01-15T00:00:00,Open,0.0,1,CHAMPAIGN-SWANN SPECIAL CARE CENTER,No Match
2021-01-15,Champaign,Reflections Memory Care,9,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-REFLECTIONS MEMORY CARE,No Match
2021-01-15,Champaign,Brookstone Estates Senior Living,9,2,2021-01-15T00:00:00,Closed,0.2222222222222222,1,CHAMPAIGN-BROOKSTONE ESTATES SENIOR LIVING,No Match
2021-01-15,Champaign,Villas of Hollybrook,2,0,2021-01-15T00:00:00,Open,0.0,1,CHAMPAIGN-VILLAS OF HOLLYBROOK,No Match
2021-01-15,Champaign,Bickford Senior Living,2,0,2021-01-15T00:00:00,Closed,0.0,1,CHAMPAIGN-BICKFORD SENIOR LIVING,No Match
2021-01-15,Champaign,Brookdale Urbana,15,0,2021-01-15T00:00:00,Open,0.0,1,CHAMPAIGN-BROOKDALE URBANA,No Match
2021-01-15,Champaign,Carriage Crossing Senior Living of Champaign,16,1,2021-01-15T00:00:00,Open,0.0625,1,CHAMPAIGN-CARRIAGE CROSSING SENIOR LIVING OF CHAMPAIGN,No Match
2021-01-15,Champaign,The Waterford at Bridle Brook,3,0,2021-01-15T00:00:00,Open,0.0,1,CHAMPAIGN-THE WATERFORD AT BRIDLE BROOK,No Match
