reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks
2020-10-16,Adams,Chaddock,3,0,Open,0.0,1
2020-10-16,Adams,Illinois Veterans Home,45,2,Open,0.044444444444444446,1
2020-10-16,Adams,Senior Center,4,2,Open,0.5,1
2020-10-16,Adams,Good Samaritan Home,9,1,Open,0.1111111111111111,1
2020-10-16,Adams,Adams Pointe Senior Living,4,0,Closed,0.0,1
2020-10-16,Adams,Bradford Villa,8,1,Open,0.125,1
2020-10-16,Adams,Golden Good Shepperd Home,48,2,Open,0.041666666666666664,1
2020-10-16,Adams,Sunset Home,4,0,Open,0.0,1
2020-10-16,Adams,St Vincents Nursing Home,9,0,Open,0.0,1
2020-10-16,Bond,Greenville Nursing & Rehab,21,1,Open,0.047619047619047616,1
2020-10-16,Bond,Cedarhurst of Greenville,19,3,Open,0.15789473684210525,1
2020-10-16,Boone,Symphony Northwoods,89,16,Closed,0.1797752808988764,1
2020-10-16,Boone,Park Place of Belvidere,6,0,Closed,0.0,1
2020-10-16,Brown,Heritage Health,4,0,Open,0.0,1
2020-10-16,Bureau,St. Margarets Living Center,4,0,Open,0.0,1
2020-10-16,Bureau,Aperion Care- Princeton,15,1,Open,0.06666666666666667,1
2020-10-16,Carroll,Big Meadows Nursing Home,53,2,Open,0.03773584905660377,1
2020-10-16,Carroll,Allure of Mount Carroll,29,2,Open,0.06896551724137931,1
2020-10-16,Cass,Walker Nursing Home,57,11,Closed,0.19298245614035087,1
2020-10-16,Cass,Heritage Health,9,0,Open,0.0,1
2020-10-16,Champaign,University Rehab Center,5,0,Closed,0.0,1
2020-10-16,Champaign,Reflections Memory Care,28,4,Closed,0.14285714285714285,1
2020-10-16,Champaign,Champaign-Urbana Nursing and Rehab,4,1,Closed,0.25,1
2020-10-16,Champaign,Villas of Hollybrook-Rantoul,5,0,Closed,0.0,1
2020-10-16,Champaign,Country Health and Rehab,7,0,Closed,0.0,1
2020-10-16,Champaign,Green House Homes at Clark-Lindsey,2,0,Closed,0.0,1
2020-10-16,Champaign,Illini Heritage Rehab and Health,2,0,Closed,0.0,1
2020-10-16,Champaign,Meadowbrook at Clark-Lindsey,2,0,Open,0.0,1
2020-10-16,Champaign,Champaign Urbana Nursing and Rehab,15,1,Open,0.06666666666666667,1
2020-10-16,Champaign,Bickford Senior Living,10,3,Open,0.3,1
2020-10-16,Champaign,University Rehabilitation Center,5,0,Open,0.0,1
2020-10-16,Champaign,Country Health and Rehab,2,0,Open,0.0,1
2020-10-16,Champaign,Brookdale Urbana,7,1,Open,0.14285714285714285,1
2020-10-16,Christian,Villas of Holly Brook,2,0,Closed,0.0,1
2020-10-16,Christian,Taylorville Estates,2,0,Open,0.0,1
2020-10-16,Christian,Taylorville Hickory Estates,2,0,Open,0.0,1
2020-10-16,Christian,Heritage Health of Pana,2,0,Open,0.0,1
2020-10-16,Christian,Prairie Rose,2,0,Open,0.0,1
2020-10-16,Christian,taylorville care center,85,9,Open,0.10588235294117647,1
2020-10-16,Christian,Taylorville Skilled Nursing (fka Meadow Manor),53,4,Open,0.07547169811320754,1
2020-10-16,Christian,Lifes Journey,8,2,Open,0.25,1
2020-10-16,Clark,Villas of Holly Brook Marshall,8,0,Open,0.0,1
2020-10-16,Clark,Marshall Rehab,3,0,Open,0.0,1
2020-10-16,Clark,Heartland Manor Nursing home,44,1,Open,0.022727272727272728,1
2020-10-16,Clay,Flora Gardens,55,5,Open,0.09090909090909091,1
2020-10-16,Clinton,Carlyle HealthCare Center,85,15,Closed,0.17647058823529413,1
2020-10-16,Clinton,Warrren G Murray Develpmental Center,62,0,Closed,0.0,1
2020-10-16,Clinton,Clinton Manor Living Facility,31,1,Closed,0.03225806451612903,1
2020-10-16,Clinton,Villa Catherine,7,0,Closed,0.0,1
2020-10-16,Clinton,Clinton Manor Living Facility,13,0,Closed,0.0,1
2020-10-16,Clinton,Warren G Murray Developmental Center,2,0,Closed,0.0,1
2020-10-16,Clinton,Carlyle Healthcare Center,6,0,Open,0.0,1
2020-10-16,Clinton,Warren G. Murray Developmental Center,6,0,Open,0.0,1
2020-10-16,Clinton,Breese Nursing Home,10,0,Open,0.0,1
2020-10-16,Coles,Charleston Rehab and Healthcare,95,16,Closed,0.16842105263157894,1
2020-10-16,Coles,Mattoon Healthcare,2,0,Closed,0.0,1
2020-10-16,Coles,Odd Fellow Rebekah,28,5,Closed,0.17857142857142858,1
2020-10-16,Coles,Villas of Holly,7,0,Closed,0.0,1
2020-10-16,Coles,Mattoon Healthcare,3,0,Closed,0.0,1
2020-10-16,Coles,Hilltop Skilled Nursing,71,5,Open,0.07042253521126761,1
2020-10-16,Coles,Copper Creek Cottages,21,4,Open,0.19047619047619047,1
2020-10-16,Cook,Three Crown Park ,48,8,Closed,0.16666666666666666,1
2020-10-16,Cook,The Admiral at the Lake,50,6,Open,0.12,1
2020-10-16,Cook,Covenant Enabling Residence,6,0,Closed,0.0,1
2020-10-16,Cook,Presence MaryHaven,13,4,Closed,0.3076923076923077,1
2020-10-16,Cook,Bridgeview HC,66,15,Closed,0.22727272727272727,1
2020-10-16,Cook,Pershing Garden,13,4,Closed,0.3076923076923077,1
2020-10-16,Cook,Aperion Care Forest Park,54,5,Open,0.09259259259259259,1
2020-10-16,Cook,ManorCare Palos Heights East,67,12,Closed,0.1791044776119403,1
2020-10-16,Cook,Community Care Nursing Home,81,10,Open,0.12345679012345678,1
2020-10-16,Cook,Westchester Health and Rehabilitation Center,46,12,Closed,0.2608695652173913,1
2020-10-16,Cook,Ludeman Developmental Center,263,9,Closed,0.034220532319391636,1
2020-10-16,Cook,Warren Barr Lincoln Park,56,11,Closed,0.19642857142857142,1
2020-10-16,Cook,Good Shepherd Manor,3,1,Closed,0.3333333333333333,1
2020-10-16,Cook,Lexington of Chicago Ridge,23,12,Closed,0.5217391304347826,1
2020-10-16,Cook,Summit of Uptown,35,15,Closed,0.42857142857142855,1
2020-10-16,Cook,Brookdale Des Plaines,20,7,Closed,0.35,1
2020-10-16,Cook,Evergreen Senior Living,9,4,Closed,0.4444444444444444,1
2020-10-16,Cook,Madden Mental Health Center,9,0,Closed,0.0,1
2020-10-16,Cook,New City Supportive Living,2,0,Open,0.0,1
2020-10-16,Cook,Alden Lakeland,14,2,Closed,0.14285714285714285,1
2020-10-16,Cook,Lakeview Nursing and Rehab,90,22,Open,0.24444444444444444,1
2020-10-16,Cook,Uptown Health Center,119,18,Closed,0.15126050420168066,1
2020-10-16,Cook,Symphony of Bronzeville,61,17,Closed,0.2786885245901639,1
2020-10-16,Cook,Southpoint Nsg and Rehab,83,11,Open,0.13253012048192772,1
2020-10-16,Cook,Windsor Estates,109,23,Closed,0.21100917431192662,1
2020-10-16,Cook,ManorCare Health Services-Palos Heights West,55,16,Closed,0.2909090909090909,1
2020-10-16,Cook,Prairie Green at Dixie Crossing,18,6,Closed,0.3333333333333333,1
2020-10-16,Cook,Victory Centre of Sierra Ridge,12,1,Closed,0.08333333333333333,1
2020-10-16,Cook,Progressive Housing,7,3,Closed,0.42857142857142855,1
2020-10-16,Cook,Arbour Health Care Center,58,3,Closed,0.05172413793103448,1
2020-10-16,Cook,Elevate Care Chicago North,176,34,Closed,0.19318181818181818,1
2020-10-16,Cook,Carlton at the Lake,112,19,Open,0.16964285714285715,1
2020-10-16,Cook,Aperion Care Dolton,35,6,Closed,0.17142857142857143,1
2020-10-16,Cook,Bellhaven Nursing and Rehabilitation,99,9,Open,0.09090909090909091,1
2020-10-16,Cook,Center Home for Hispanic Elderly,118,30,Open,0.2542372881355932,1
2020-10-16,Cook,Estates of Hyde Park,57,13,Open,0.22807017543859648,1
2020-10-16,Cook,Symphony of South Shore,188,29,Closed,0.15425531914893617,1
2020-10-16,Cook,Villa at Windsor Park,160,44,Closed,0.275,1
2020-10-16,Cook,Symphony of Lincoln Park,179,30,Closed,0.16759776536312848,1
2020-10-16,Cook,Symphony of Chicago West,58,7,Closed,0.1206896551724138,1
2020-10-16,Cook,Covenant Home of Chicago,2,0,Open,0.0,1
2020-10-16,Cook,Austin Oasis,105,16,Open,0.1523809523809524,1
2020-10-16,Cook,Glenview Terrace,190,33,Closed,0.1736842105263158,1
2020-10-16,Cook,Avenues to Independence,11,0,Closed,0.0,1
2020-10-16,Cook,Sunrise of Park Ridge,48,11,Closed,0.22916666666666666,1
2020-10-16,Cook,Birchwood Plaza Nursing-Rehab,85,15,Closed,0.17647058823529413,1
2020-10-16,Cook,Grace Point Place Memory Care,26,8,Closed,0.3076923076923077,1
