ReportingDate,State,County,City,FacilityName,TYPE,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,TOTAL RESIDENT CASES,TOTAL Resident Probable Positives,TOTAL RESIDENT DEATHS,TOTAL Resident Probable Deaths,TOTAL STAFF CASES,TOTAL Staff Probable Positives,TOTAL STAFF DEATHS,TOTAL Staff Probable Deaths,confirmed_cases,TOTAL Resident/Staff Probable Positives,deaths,TOTAL Resident/Staff Probable Deaths,NEW RESIDENT CASES,NEW Resident Probable Positives,NEW RESIDENT DEATHS,NEW Resident Probable Deaths,NEW STAFF CASES,NEW Staff Probable Positives,NEW STAFF DEATHS,NEW Staff Probable Deaths,NEW Resident/Staff Positives,NEW Resident/Staff Probable Positives,NEW Resident/Staff Deaths,NEW Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment,COMPLIANCE
20210122,IL,Adams,,Adams Pointe Senior Living,,,,,,,,Closed,,,,,,,,,,4,,0,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Bickford Cottage,,,,,,,,Open,,,,,,,,,,8,,0,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Blessing Hospital SNU,,,,,,,,Open,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Bradford Villa,,,,,,,,Open,,,,,,,,,,21,,2,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Cedarhurst,,,,,,,,Closed,,,,,,,,,,26,,1,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Chaddock,,,,,,,,Open,,,,,,,,,,11,,0,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Curtis Creek,,,,,,,,Open,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Golden Good Shepperd Home,,,,,,,,Closed,,,,,,,,,,54,,9,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Good Samaritan Home,,,,,,,,Open,,,,,,,,,,61,,4,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Illinois Veterans Home Quincy,,,,,,,,Open,,,,,,,,,,239,,19,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Quincy Terrace,,,,,,,,Open,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Senior Center,,,,,,,,Open,,,,,,,,,,11,,0,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,St Vincents Nursing Home,,,,,,,,Open,,,,,,,,,,101,,17,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Sunset Home,,,,,,,,Open,,,,,,,,,,56,,10,,,,,,,,,,,,,,,,,
20210122,IL,Adams,,Timberpoint Health Care Center,,,,,,,,Open,,,,,,,,,,35,,9,,,,,,,,,,,,,,,,,
20210122,IL,Bond,,Cedarhurst of Greenville,,,,,,,,Closed,,,,,,,,,,18,,3,,,,,,,,,,,,,,,,,
20210122,IL,Bond,,Fayco - Elm St Greenville,,,,,,,,Open,,,,,,,,,,8,,0,,,,,,,,,,,,,,,,,
20210122,IL,Bond,,Greenville Nursing & Rehab,,,,,,,,Open,,,,,,,,,,58,,8,,,,,,,,,,,,,,,,,
20210122,IL,Bond,,The Glenwood,,,,,,,,Open,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Heritage Woods of Belvidere,,,,,,,,Open,,,,,,,,,,31,,3,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Heritage of Woods,,,,,,,,Closed,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Maple Crest Care Center,,,,,,,,Open,,,,,,,,,,100,,23,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Northwoods Care Center,,,,,,,,Open,,,,,,,,,,8,,2,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Park Place,,,,,,,,Open,,,,,,,,,,78,,3,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Park Place of Belvidere,,,,,,,,Closed,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,
20210122,IL,Boone,,Symphony Northwoods,,,,,,,,Closed,,,,,,,,,,89,,16,,,,,,,,,,,,,,,,,
20210122,IL,Brown,,Heritage Health,,,,,,,,Open,,,,,,,,,,52,,9,,,,,,,,,,,,,,,,,
20210122,IL,Bureau,,Aperion Care Spring Valley,,,,,,,,Open,,,,,,,,,,132,,15,,,,,,,,,,,,,,,,,
