County,FacilityName2,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2021-01-01,444,1,0.0022522522522522522,2,1,1,1
Cook,Ludeman Developmental Center,No Match,2021-01-01,263,9,0.034220532319391636,1,1,0,1
Cook,City View Multi Care Center,145850,2021-01-01,249,15,0.060240963855421686,1,1,0,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2021-01-01,245,42,0.17142857142857143,2,1,1,1
Cook,Niles Nursing and Rehab Center,145696,2021-01-01,242,54,0.2231404958677686,2,1,1,1
Cook,Bria River Oaks,145735,2021-01-01,241,3,0.012448132780082987,1,0,1,1
Adams,Illinois Veterans Home Quincy,No Match,2021-01-01,239,6,0.02510460251046025,1,0,1,1
Lake,Avantara Long Grove,145868,2021-01-01,228,32,0.14035087719298245,1,1,0,1
Cook,Peterson Park Health Care,145838,2021-01-01,227,36,0.15859030837004406,2,1,1,1
Cook,Woodbridge Nursing Pavilion,145792,2021-01-01,226,40,0.17699115044247787,2,1,1,1
Rock Island,Hope Creek,145269,2021-01-01,226,27,0.11946902654867257,1,0,1,1
Cook,Symphony at Midway,145995,2021-01-01,224,27,0.12053571428571429,3,2,1,1
Cook,Symphony of South Shore,145977,2021-01-01,223,32,0.14349775784753363,2,0,2,1
Cook,Symphony of Lincoln Park,145510,2021-01-01,220,32,0.14545454545454545,2,1,1,1
Will,Sunny Hill Nursing Home,145892,2021-01-01,214,31,0.14485981308411214,2,1,1,1
Cook,Aperion Care International of Chicago,146001,2021-01-01,212,30,0.14150943396226415,1,0,1,1
DuPage,Manorcare Hinsdale,145246,2021-01-01,212,41,0.19339622641509435,2,1,1,1
LaSalle,Illinois Veterans Home - LaSalle,No Match,2021-01-01,211,35,0.16587677725118483,2,1,1,1
Cook,Norridge Gardens,145329,2021-01-01,209,57,0.2727272727272727,1,0,1,1
Cook,Symphony of Morgan Park,145764,2021-01-01,209,26,0.12440191387559808,2,0,2,1
Cook,Parkshore Estates,145938,2021-01-01,207,3,0.014492753623188406,2,1,1,1
Cook,Elevate Care Chicago North,145484,2021-01-01,206,34,0.1650485436893204,2,1,1,1
Will,Aperion Wilmington,145316,2021-01-01,202,0,0.0,3,2,1,1
DuPage,St. Patricks Residence Nursing and Rehabilitation,145878,2021-01-01,200,16,0.08,1,0,1,1
Cook,Presence Villa Scalabrini Nursing&Rehab Center,145956,2021-01-01,199,18,0.09045226130653267,1,0,1,1
Cook,Albany Care,No Match,2021-01-01,194,0,0.0,1,0,1,1
Cook,Glenview Terrace,145268,2021-01-01,194,34,0.17525773195876287,2,1,1,1
Cook,Symphony at 87th,145983,2021-01-01,190,34,0.17894736842105263,1,0,1,1
Cook,Avantara Park Ridge,145667,2021-01-01,188,20,0.10638297872340426,2,1,1,1
Kane,Tower Hill Healthcare Center,145795,2021-01-01,188,31,0.16489361702127658,2,1,1,1
Cook,Bella Terra Streamwood,145701,2021-01-01,186,17,0.0913978494623656,1,0,1,1
Cook,Bria Forest Edge,145864,2021-01-01,185,5,0.02702702702702703,1,0,1,1
Cook,Lee Manor Rehab and Nursing,145382,2021-01-01,185,26,0.14054054054054055,1,0,1,1
Will,Presence Villa Franciscan,145029,2021-01-01,183,21,0.11475409836065574,2,1,1,1
Kane,River View Rehab,145308,2021-01-01,180,15,0.08333333333333333,1,0,1,1
Lake,Hillcrest Retirement Village,146130,2021-01-01,178,20,0.11235955056179775,1,0,1,1
DuPage,DuPage Care Center,145050,2021-01-01,176,8,0.045454545454545456,1,0,1,1
Cook,Villa at Windsor Park,145970,2021-01-01,172,44,0.2558139534883721,3,2,1,1
