County,FacilityName,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,Ludeman Developmental Center,2020-06-26,331,10,0.030211480362537766,1,1
Cook,City View Multi Care Center,2020-06-26,252,14,0.05555555555555555,1,1
Cook,Woodbridge Nursing Pavilion,2020-06-26,228,37,0.16228070175438597,1,1
Cook,Peterson Park Health Care,2020-06-26,220,34,0.15454545454545454,1,1
Cook,Symphony at Midway,2020-06-26,220,23,0.10454545454545454,1,1
Lake,Avantara Long Grove,2020-06-26,219,31,0.1415525114155251,1,1
Cook,Symphony of Morgan Park,2020-06-26,198,24,0.12121212121212122,1,1
Cook,Glenview Terrace,2020-06-26,192,35,0.18229166666666666,1,1
Cook,Symphony of South Shore,2020-06-26,191,26,0.13612565445026178,1,1
Will,Meadowbrook Manor of Bolingbrook,2020-06-26,188,40,0.2127659574468085,1,1
Cook,Niles Nursing and Rehab Center,2020-06-26,188,45,0.2393617021276596,1,1
Cook,Elevate Care Chicago North,2020-06-26,184,33,0.1793478260869565,1,1
Cook,Symphony of Lincoln Park,2020-06-26,181,26,0.143646408839779,1,1
DuPage,Manorcare Hinsdale,2020-06-26,168,32,0.19047619047619047,1,1
Cook,Villa at Windsor Park,2020-06-26,166,45,0.2710843373493976,1,1
Cook,Symphony at 87th,2020-06-26,166,33,0.19879518072289157,1,1
Kane,Tower Hill Healthcare Center,2020-06-26,159,28,0.1761006289308176,1,1
Cook,California Gardens Nursing and Rehabilitation Cent,2020-06-26,158,5,0.03164556962025317,1,1
Cook,Mayfield Care Center,2020-06-26,156,22,0.14102564102564102,1,1
Cook,Fairmont Care,2020-06-26,152,29,0.19078947368421054,1,1
Kankakee,Samuel H. Shapiro Developmental Center,2020-06-26,141,1,0.0070921985815602835,1,1
Cook,Bria Forest Edge,2020-06-26,139,2,0.014388489208633094,1,1
Cook,Harmony Healthcare and Rehab,2020-06-26,135,28,0.2074074074074074,1,1
DuPage,Bria of Westmont,2020-06-26,133,25,0.18796992481203006,1,1
Will,symphony of joliet,2020-06-26,130,25,0.19230769230769232,1,1
Cook,Mosaic of Lakeshore,2020-06-26,130,27,0.2076923076923077,1,1
Cook,Uptown Health Center,2020-06-26,125,17,0.136,1,1
Cook,Carlton at the Lake,2020-06-26,125,17,0.136,1,1
