County,FacilityName,confirmed_cases,deaths,status,reporting_date,% deaths
Adams,Chaddock,3,0,Closed,2020-10-23,0.0
Adams,Illinois Veterans Home,45,2,Open,2020-10-23,0.044444444444444446
Adams,Senior Center,4,2,Closed,2020-10-23,0.5
Adams,Good Samaritan Home,10,1,Open,2020-10-23,0.1
Adams,Adams Pointe Senior Living,4,0,Closed,2020-10-23,0.0
Adams,Bradford Villa,8,1,Closed,2020-10-23,0.125
Adams,Golden Good Shepperd Home,51,4,Open,2020-10-23,0.0784313725490196
Adams,Sunset Home,9,0,Open,2020-10-23,0.0
Adams,St Vincents Nursing Home,18,0,Open,2020-10-23,0.0
Adams,Cedarhurst,7,0,Open,2020-10-23,0.0
Bond,Greenville Nursing & Rehab,21,1,Open,2020-10-23,0.047619047619047616
Bond,Cedarhurst of Greenville,19,3,Open,2020-10-23,0.15789473684210525
Boone,Symphony Northwoods,89,16,Closed,2020-10-23,0.1797752808988764
Boone,Park Place of Belvidere,6,0,Closed,2020-10-23,0.0
Boone,Heritage of Woods,5,1,Open,2020-10-23,0.2
Brown,Heritage Health,6,0,Open,2020-10-23,0.0
Bureau,St. Margarets Living Center,4,0,Closed,2020-10-23,0.0
Bureau,Aperion Care- Princeton,15,1,Open,2020-10-23,0.06666666666666667
Carroll,Big Meadows Nursing Home,53,2,Open,2020-10-23,0.03773584905660377
Carroll,Allure of Mount Carroll,34,2,Open,2020-10-23,0.058823529411764705
Cass,Walker Nursing Home,57,11,Closed,2020-10-23,0.19298245614035087
Cass,Heritage Health,9,0,Open,2020-10-23,0.0
Champaign,University Rehab Center,5,0,Closed,2020-10-23,0.0
Champaign,Reflections Memory Care,28,4,Closed,2020-10-23,0.14285714285714285
Champaign,Champaign-Urbana Nursing and Rehab,4,1,Closed,2020-10-23,0.25
Champaign,Villas of Hollybrook-Rantoul,5,0,Closed,2020-10-23,0.0
Champaign,Country Health and Rehab,7,0,Closed,2020-10-23,0.0
Champaign,Green House Homes at Clark-Lindsey,2,0,Closed,2020-10-23,0.0
Champaign,Illini Heritage Rehab and Health,2,0,Closed,2020-10-23,0.0
Champaign,Meadowbrook at Clark-Lindsey,7,0,Closed,2020-10-23,0.0
Champaign,Champaign Urbana Nursing and Rehab,15,1,Open,2020-10-23,0.06666666666666667
Champaign,Bickford Senior Living,10,3,Closed,2020-10-23,0.3
Champaign,University Rehabilitation Center,5,0,Open,2020-10-23,0.0
Champaign,Country Health and Rehab,2,0,Closed,2020-10-23,0.0
Champaign,Brookdale Urbana,7,1,Open,2020-10-23,0.14285714285714285
Champaign,Meadowbrook at Clark-Lindsey,7,0,Open,2020-10-23,0.0
Champaign,Evergreen Place,6,0,Open,2020-10-23,0.0
Champaign,Green House Homes at Clark-Lindsey,3,0,Open,2020-10-23,0.0
Christian,Villas of Holly Brook,2,0,Closed,2020-10-23,0.0
Christian,Taylorville Estates,2,0,Open,2020-10-23,0.0
Christian,Taylorville Hickory Estates,2,0,Open,2020-10-23,0.0
Christian,Heritage Health of Pana,2,0,Open,2020-10-23,0.0
Christian,Prairie Rose,2,0,Open,2020-10-23,0.0
Christian,taylorville care center,88,12,Open,2020-10-23,0.13636363636363635
Christian,Taylorville Skilled Nursing (fka Meadow Manor),53,4,Open,2020-10-23,0.07547169811320754
Christian,Lifes Journey,8,2,Open,2020-10-23,0.25
Clark,Villas of Holly Brook Marshall,8,0,Open,2020-10-23,0.0
Clark,Marshall Rehab,3,0,Open,2020-10-23,0.0
Clark,Heartland Manor Nursing home,54,7,Open,2020-10-23,0.12962962962962962
Clay,Flora Gardens,55,11,Open,2020-10-23,0.2
Clinton,Carlyle HealthCare Center,85,15,Closed,2020-10-23,0.17647058823529413
Clinton,Warrren G Murray Develpmental Center,62,0,Closed,2020-10-23,0.0
Clinton,Clinton Manor Living Facility,31,1,Closed,2020-10-23,0.03225806451612903
Clinton,Villa Catherine,7,0,Closed,2020-10-23,0.0
Clinton,Clinton Manor Living Facility,13,0,Closed,2020-10-23,0.0
Clinton,Warren G Murray Developmental Center,2,0,Closed,2020-10-23,0.0
Clinton,Carlyle Healthcare Center,7,0,Open,2020-10-23,0.0
Clinton,Warren G. Murray Developmental Center,6,0,Open,2020-10-23,0.0
Clinton,Breese Nursing Home,38,1,Open,2020-10-23,0.02631578947368421
Clinton,Aviston Countryside Manor,14,1,Open,2020-10-23,0.07142857142857142
Coles,Charleston Rehab and Healthcare,95,16,Closed,2020-10-23,0.16842105263157894
Coles,Mattoon Healthcare,2,0,Closed,2020-10-23,0.0
Coles,Odd Fellow Rebekah,28,5,Closed,2020-10-23,0.17857142857142858
Coles,Villas of Holly,7,0,Closed,2020-10-23,0.0
Coles,Mattoon Healthcare,3,0,Closed,2020-10-23,0.0
Coles,Hilltop Skilled Nursing,70,5,Closed,2020-10-23,0.07142857142857142
Coles,Copper Creek Cottages,21,4,Open,2020-10-23,0.19047619047619047
Coles,Mattoon Rehabilitation and Health Care Center,11,0,Open,2020-10-23,0.0
Cook,Three Crown Park ,48,8,Closed,2020-10-23,0.16666666666666666
Cook,The Admiral at the Lake,50,6,Open,2020-10-23,0.12
Cook,Covenant Enabling Residence,6,0,Closed,2020-10-23,0.0
Cook,Presence MaryHaven,13,4,Closed,2020-10-23,0.3076923076923077
Cook,Bridgeview HC,66,15,Closed,2020-10-23,0.22727272727272727
Cook,Pershing Garden,13,4,Closed,2020-10-23,0.3076923076923077
Cook,Aperion Care Forest Park,54,6,Open,2020-10-23,0.1111111111111111
Cook,ManorCare Palos Heights East,67,12,Closed,2020-10-23,0.1791044776119403
Cook,Community Care Nursing Home,81,10,Closed,2020-10-23,0.12345679012345678
Cook,Westchester Health and Rehabilitation Center,46,12,Closed,2020-10-23,0.2608695652173913
Cook,Ludeman Developmental Center,263,9,Closed,2020-10-23,0.034220532319391636
Cook,Warren Barr Lincoln Park,56,11,Closed,2020-10-23,0.19642857142857142
Cook,Good Shepherd Manor,3,1,Closed,2020-10-23,0.3333333333333333
Cook,Lexington of Chicago Ridge,23,12,Closed,2020-10-23,0.5217391304347826
Cook,Summit of Uptown,35,15,Closed,2020-10-23,0.42857142857142855
Cook,Brookdale Des Plaines,20,7,Closed,2020-10-23,0.35
Cook,Evergreen Senior Living,9,4,Closed,2020-10-23,0.4444444444444444
Cook,Madden Mental Health Center,9,0,Closed,2020-10-23,0.0
Cook,New City Supportive Living,2,0,Open,2020-10-23,0.0
Cook,Alden Lakeland,14,2,Closed,2020-10-23,0.14285714285714285
Cook,Lakeview Nursing and Rehab,90,22,Open,2020-10-23,0.24444444444444444
Cook,Uptown Health Center,119,18,Closed,2020-10-23,0.15126050420168066
Cook,Symphony of Bronzeville,61,17,Open,2020-10-23,0.2786885245901639
Cook,Southpoint Nsg and Rehab,83,11,Open,2020-10-23,0.13253012048192772
Cook,Windsor Estates,109,23,Closed,2020-10-23,0.21100917431192662
Cook,ManorCare Health Services-Palos Heights West,55,16,Closed,2020-10-23,0.2909090909090909
Cook,Prairie Green at Dixie Crossing,18,6,Closed,2020-10-23,0.3333333333333333
Cook,Victory Centre of Sierra Ridge,12,1,Closed,2020-10-23,0.08333333333333333
Cook,Progressive Housing,7,3,Closed,2020-10-23,0.42857142857142855
Cook,Arbour Health Care Center,58,3,Closed,2020-10-23,0.05172413793103448
Cook,Elevate Care Chicago North,176,34,Closed,2020-10-23,0.19318181818181818
Cook,Carlton at the Lake,112,19,Open,2020-10-23,0.16964285714285715
Cook,Aperion Care Dolton,29,6,Closed,2020-10-23,0.20689655172413793
Cook,Bellhaven Nursing and Rehabilitation,100,9,Open,2020-10-23,0.09
Cook,Center Home for Hispanic Elderly,118,30,Open,2020-10-23,0.2542372881355932
Cook,Estates of Hyde Park,57,12,Closed,2020-10-23,0.21052631578947367
Cook,Symphony of South Shore,188,29,Open,2020-10-23,0.15425531914893617
Cook,Villa at Windsor Park,160,44,Closed,2020-10-23,0.275
Cook,Symphony of Lincoln Park,179,30,Closed,2020-10-23,0.16759776536312848
Cook,Symphony of Chicago West,58,7,Closed,2020-10-23,0.1206896551724138
Cook,Covenant Home of Chicago,2,0,Closed,2020-10-23,0.0
Cook,Austin Oasis,105,16,Open,2020-10-23,0.1523809523809524
Cook,Glenview Terrace,190,33,Closed,2020-10-23,0.1736842105263158
Cook,Avenues to Independence,11,0,Closed,2020-10-23,0.0
Cook,Sunrise of Park Ridge,48,11,Closed,2020-10-23,0.22916666666666666
Cook,Birchwood Plaza Nursing-Rehab,85,15,Closed,2020-10-23,0.17647058823529413
Cook,Grace Point Place Memory Care,24,8,Closed,2020-10-23,0.3333333333333333
Cook,Sunrise of Flossmore,12,6,Closed,2020-10-23,0.5
Cook,Sunrise Palos Park,3,1,Closed,2020-10-23,0.3333333333333333
Cook,Astoria Place of Chicago,104,20,Closed,2020-10-23,0.19230769230769232
Cook,Little Village Nursing Home,43,7,Closed,2020-10-23,0.16279069767441862
Cook,Park View Rehab,54,11,Closed,2020-10-23,0.2037037037037037
Cook,Southview Manor,26,2,Closed,2020-10-23,0.07692307692307693
Cook,The Grove of Skokie,31,7,Closed,2020-10-23,0.22580645161290322
Cook,Vi at the Glen,27,4,Closed,2020-10-23,0.14814814814814814
Cook,Symphony at 87th,175,33,Open,2020-10-23,0.18857142857142858
Cook,Alden North Shore,2,0,Closed,2020-10-23,0.0
Cook,Lieberman Geriatric Center,76,8,Open,2020-10-23,0.10526315789473684
Cook,Bria Place of Indian Head Park,32,7,Closed,2020-10-23,0.21875
Cook,Midway Neuro and Rehab,142,12,Closed,2020-10-23,0.08450704225352113
Cook,Alden Estates of Orland Park,44,13,Open,2020-10-23,0.29545454545454547
Cook,Landmark of Des Plaines,95,22,Open,2020-10-23,0.23157894736842105
Cook,Symphony at Aria,31,7,Closed,2020-10-23,0.22580645161290322
Cook,Warren Barr South Loop,46,3,Open,2020-10-23,0.06521739130434782
Cook,Westwood Manor,63,2,Closed,2020-10-23,0.031746031746031744
Cook,Bria Forest Edge,149,2,Open,2020-10-23,0.013422818791946308
Cook,California Gardens Nursing and Rehabilitation Cent,157,6,Closed,2020-10-23,0.03821656050955414
Cook,Montgomery Place,40,4,Closed,2020-10-23,0.1
Cook,Selfhelp Home,40,4,Closed,2020-10-23,0.1
Cook,Lydia Health Care Center,22,3,Closed,2020-10-23,0.13636363636363635
Cook,Aperion Care Evanston,25,2,Closed,2020-10-23,0.08
Cook,Westminster Place,16,0,Closed,2020-10-23,0.0
Cook,Oak Park Oasis,29,11,Closed,2020-10-23,0.3793103448275862
Cook,City View Multi Care Center,249,15,Closed,2020-10-23,0.060240963855421686
Cook,Generations at Regency,130,33,Closed,2020-10-23,0.25384615384615383
Cook,Avantara Evergreen Park,94,22,Closed,2020-10-23,0.23404255319148937
Cook,Generations at Applewood,83,20,Closed,2020-10-23,0.24096385542168675
Cook,Bella Terra Morton Grove,74,11,Closed,2020-10-23,0.14864864864864866
Cook,Manor Care Health Services-Homewood,52,15,Closed,2020-10-23,0.28846153846153844
Cook,Artis Senior Living of Lakeview,19,8,Closed,2020-10-23,0.42105263157894735
Cook,Northbrook Inn Memory Care,18,5,Closed,2020-10-23,0.2777777777777778
Cook,Chicago Ridge Nursing and Rehab,71,17,Closed,2020-10-23,0.23943661971830985
Cook,Lincolnwood Place,45,15,Open,2020-10-23,0.3333333333333333
Cook,BRIA of Chicago Heights,41,1,Closed,2020-10-23,0.024390243902439025
Cook,Arden Courts/Manor Care of South Holland ,68,8,Closed,2020-10-23,0.11764705882352941
Cook,The Sheridan of Park Ridge,10,3,Closed,2020-10-23,0.3
Cook,ManorCare Oak Lawn West,82,18,Closed,2020-10-23,0.21951219512195122
Cook,Generations at Elmwood Park,89,19,Closed,2020-10-23,0.21348314606741572
Cook,Symphony of Evanston,28,1,Closed,2020-10-23,0.03571428571428571
Cook,Lemont Center,33,8,Closed,2020-10-23,0.24242424242424243
Cook,Oak Park Brookdale,14,1,Closed,2020-10-23,0.07142857142857142
Cook,Praire Oasis South Holland,49,14,Open,2020-10-23,0.2857142857142857
Cook,Symphony of Crestwood,48,7,Open,2020-10-23,0.14583333333333334
Cook,Emerald Place Memory Care,11,2,Closed,2020-10-23,0.18181818181818182
Cook,Brookdale Assisted living,5,1,Closed,2020-10-23,0.2
Cook,Generations At Oakton,62,13,Closed,2020-10-23,0.20967741935483872
Cook,Lutheran Home,55,9,Closed,2020-10-23,0.16363636363636364
Cook,Central Plaza,5,2,Open,2020-10-23,0.4
Cook,Golfview Developmental Center,123,11,Closed,2020-10-23,0.08943089430894309
Cook,Lexington Health Care Orland Park,77,18,Closed,2020-10-23,0.23376623376623376
Cook,Niles Nursing and Rehab Center,213,54,Closed,2020-10-23,0.2535211267605634
Cook,Winston Manor,48,8,Closed,2020-10-23,0.16666666666666666
Cook,Smith Village,68,14,Closed,2020-10-23,0.20588235294117646
Cook,Prairie Manor Rehab and Nursing,34,12,Open,2020-10-23,0.35294117647058826
Cook,Avanti Wellness & Rehabilitation ,110,17,Open,2020-10-23,0.15454545454545454
Cook,Burbank Rehab - Vera Care Stickney,38,11,Closed,2020-10-23,0.2894736842105263
Cook,Sheridan Village,54,19,Open,2020-10-23,0.35185185185185186
Cook,Plymouth Place Senior Living,42,11,Closed,2020-10-23,0.2619047619047619
Cook,Aperion Care Burbank,5,1,Closed,2020-10-23,0.2
