reporting_date,County,FacilityName,confirmed_cases,deaths,ReportDate,status,CFR,outbreaks,county-facName,CMS_ProvNum
2021-02-05,Adams,Chaddock,23,0,2021-02-05T00:00:00,Closed,0.0,1,ADAMS-CHADDOCK,No Match
2021-02-05,Adams,Illinois Veterans Home Quincy,239,23,2021-02-05T00:00:00,Open,0.09623430962343096,1,ADAMS-ILLINOIS VETERANS HOME QUINCY,No Match
2021-02-05,Adams,Good Samaritan Home,75,5,2021-02-05T00:00:00,Open,0.06666666666666667,1,ADAMS-GOOD SAMARITAN HOME,145773
2021-02-05,Adams,Adams Pointe Senior Living,4,0,2021-02-05T00:00:00,Closed,0.0,1,ADAMS-ADAMS POINTE SENIOR LIVING,No Match
2021-02-05,Adams,Bradford Villa,8,1,2021-02-05T00:00:00,Closed,0.125,1,ADAMS-BRADFORD VILLA,No Match
2021-02-05,Adams,Golden Good Shepperd Home,54,9,2021-02-05T00:00:00,Closed,0.16666666666666666,1,ADAMS-GOLDEN GOOD SHEPPERD HOME,No Match
2021-02-05,Adams,Sunset Home,64,13,2021-02-05T00:00:00,Open,0.203125,1,ADAMS-SUNSET HOME,145800
2021-02-05,Adams,St Vincents Nursing Home,101,17,2021-02-05T00:00:00,Open,0.16831683168316833,1,ADAMS-ST VINCENTS NURSING HOME,145457
2021-02-05,Adams,Cedarhurst,26,1,2021-02-05T00:00:00,Closed,0.038461538461538464,1,ADAMS-CEDARHURST,No Match
2021-02-05,Adams,Timberpoint Health Care Center,35,9,2021-02-05T00:00:00,Open,0.2571428571428571,1,ADAMS-TIMBERPOINT HEALTH CARE CENTER,No Match
2021-02-05,Adams,Quincy Terrace,16,1,2021-02-05T00:00:00,Open,0.0625,1,ADAMS-QUINCY TERRACE,No Match
2021-02-05,Adams,Bickford Cottage (2),9,0,2021-02-05T00:00:00,Open,0.0,1,ADAMS-BICKFORD COTTAGE (2),No Match
2021-02-05,Adams,Bradford Villa (2),13,2,2021-02-05T00:00:00,Open,0.15384615384615385,1,ADAMS-BRADFORD VILLA (2),No Match
2021-02-05,Adams,Senior Center (2),12,0,2021-02-05T00:00:00,Open,0.0,1,ADAMS-SENIOR CENTER (2),No Match
2021-02-05,Adams,Blessing Hospital SNU (2),6,3,2021-02-05T00:00:00,Open,0.5,1,ADAMS-BLESSING HOSPITAL SNU (2),No Match
2021-02-05,Adams,Curtis Creek,6,0,2021-02-05T00:00:00,Open,0.0,1,ADAMS-CURTIS CREEK,No Match
2021-02-05,Bond,Greenville Nursing & Rehab,58,9,2021-02-05T00:00:00,Open,0.15517241379310345,1,BOND-GREENVILLE NURSING & REHAB,145909
