County,FacilityName2,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,Brandel Care Center,145527,2021-01-22,565,14,0.024778761061946902,2,1,1,1
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2021-01-22,485,2,0.004123711340206186,2,1,1,1
Cook,Ludeman Developmental Center,No Match,2021-01-22,263,9,0.034220532319391636,1,1,0,1
Cook,City View Multi Care Center,145850,2021-01-22,249,15,0.060240963855421686,1,1,0,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2021-01-22,249,42,0.1686746987951807,2,1,1,1
Cook,Bria River Oaks,145735,2021-01-22,247,3,0.012145748987854251,1,0,1,1
Cook,Niles Nursing and Rehab Center,145696,2021-01-22,243,54,0.2222222222222222,2,1,1,1
Adams,Illinois Veterans Home Quincy,No Match,2021-01-22,239,19,0.0794979079497908,1,0,1,1
Cook,Woodbridge Nursing Pavilion,145792,2021-01-22,234,40,0.17094017094017094,2,1,1,1
Cook,Peterson Park Health Care,145838,2021-01-22,232,36,0.15517241379310345,2,1,1,1
Cook,Symphony of South Shore,145977,2021-01-22,230,35,0.15217391304347827,2,0,2,1
Rock Island,Hope Creek,145269,2021-01-22,228,27,0.11842105263157894,1,0,1,1
Lake,Avantara Long Grove,145868,2021-01-22,228,32,0.14035087719298245,1,1,0,1
Cook,Symphony at Midway,145995,2021-01-22,226,27,0.11946902654867257,3,2,1,1
Cook,Symphony of Lincoln Park,145510,2021-01-22,219,32,0.1461187214611872,2,1,1,1
Cook,Aperion Care International of Chicago,146001,2021-01-22,214,31,0.14485981308411214,1,0,1,1
Will,Sunny Hill Nursing Home,145892,2021-01-22,214,31,0.14485981308411214,2,1,1,1
Cook,Symphony of Morgan Park,145764,2021-01-22,213,26,0.12206572769953052,2,0,2,1
DuPage,Manorcare Hinsdale,145246,2021-01-22,213,41,0.19248826291079812,2,1,1,1
LaSalle,Illinois Veterans Home - LaSalle,No Match,2021-01-22,211,36,0.17061611374407584,2,1,1,1
Cook,Parkshore Estates,145938,2021-01-22,210,6,0.02857142857142857,2,1,1,1
Cook,Presence Villa Scalabrini Nursing&Rehab Center,145956,2021-01-22,210,23,0.10952380952380952,1,0,1,1
Cook,Norridge Gardens,145329,2021-01-22,209,57,0.2727272727272727,1,0,1,1
Will,Aperion Wilmington,145316,2021-01-22,205,0,0.0,3,2,1,1
Cook,Elevate Care Chicago North,145484,2021-01-22,205,34,0.16585365853658537,2,1,1,1
Cook,Albany Care,No Match,2021-01-22,204,1,0.004901960784313725,1,0,1,1
DuPage,St. Patricks Residence Nursing and Rehabilitation,145878,2021-01-22,202,16,0.07920792079207921,1,0,1,1
Cook,Villa at Windsor Park,145970,2021-01-22,200,44,0.22,3,2,1,1
DuPage,DuPage Care Center,145050,2021-01-22,196,8,0.04081632653061224,1,0,1,1
Cook,Glenview Terrace,145268,2021-01-22,196,35,0.17857142857142858,2,1,1,1
Cook,Bria Forest Edge,145864,2021-01-22,194,6,0.030927835051546393,1,0,1,1
DuPage,Meadowbrook Manor Naperville,145874,2021-01-22,193,10,0.05181347150259067,2,1,1,1
Cook,Clark Manor,145507,2021-01-22,193,17,0.08808290155440414,2,1,1,1
Cook,Avantara Park Ridge,145667,2021-01-22,191,30,0.15706806282722513,2,1,1,1
Cook,Symphony at 87th,145983,2021-01-22,190,34,0.17894736842105263,1,0,1,1
Cook,Generations at Regency,145237,2021-01-22,190,34,0.17894736842105263,2,1,1,1
Kane,Tower Hill Healthcare Center,145795,2021-01-22,190,31,0.1631578947368421,2,1,1,1
