County,FacilityName,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Kankakee,Samuel H. Shapiro Developmental Center,2020-11-27,277,1,0.0036101083032490976,2,1
Cook,Ludeman Developmental Center,2020-11-27,263,9,0.034220532319391636,1,1
Cook,City View Multi Care Center,2020-11-27,249,15,0.060240963855421686,1,1
Lake,Avantara Long Grove,2020-11-27,228,32,0.14035087719298245,1,1
Cook,Peterson Park Health Care,2020-11-27,221,35,0.1583710407239819,2,1
Cook,Symphony at Midway,2020-11-27,220,27,0.12272727272727273,2,1
Cook,Woodbridge Nursing Pavilion,2020-11-27,219,40,0.182648401826484,1,1
Cook,Niles Nursing and Rehab Center,2020-11-27,217,54,0.2488479262672811,2,1
Cook,Symphony of South Shore,2020-11-27,207,29,0.14009661835748793,2,1
Cook,Symphony of Lincoln Park,2020-11-27,205,31,0.15121951219512195,2,1
Cook,Symphony of Morgan Park,2020-11-27,202,26,0.12871287128712872,1,1
LaSalle,Illinois Veterans Home - LaSalle,2020-11-27,202,27,0.13366336633663367,2,1
Cook,Aperion Care International of Chicago,2020-11-27,196,27,0.1377551020408163,1,1
Will,Meadowbrook Manor of Bolingbrook,2020-11-27,194,41,0.211340206185567,2,1
Cook,Bria River Oaks,2020-11-27,193,2,0.010362694300518135,1,1
Cook,Glenview Terrace,2020-11-27,190,33,0.1736842105263158,1,1
DuPage,Manorcare Hinsdale,2020-11-27,190,37,0.19473684210526315,2,1
Cook,Elevate Care Chicago North,2020-11-27,184,34,0.18478260869565216,2,1
Kane,River View Rehab ,2020-11-27,183,5,0.0273224043715847,1,1
Cook,Symphony at 87th,2020-11-27,182,34,0.18681318681318682,1,1
Lake,Hillcrest Retirement Village,2020-11-27,178,19,0.10674157303370786,1,1
Kane,Tower Hill Healthcare Center,2020-11-27,175,30,0.17142857142857143,2,1
Cook,Norridge Gardens,2020-11-27,168,46,0.27380952380952384,1,1
Kankakee,Riverside Miller Rehabilitation,2020-11-27,166,22,0.13253012048192772,2,1
Cook,Villa at Windsor Park,2020-11-27,162,44,0.2716049382716049,2,1
Cook,California Gardens Nursing and Rehabilitation Cent,2020-11-27,157,6,0.03821656050955414,1,1
Cook,Bria Forest Edge,2020-11-27,156,2,0.01282051282051282,1,1
Cook,Mayfield Care Center,2020-11-27,154,23,0.14935064935064934,1,1
DuPage,Bria of Westmont,2020-11-27,152,29,0.19078947368421054,1,1
Cook,Fairmont Care,2020-11-27,151,32,0.2119205298013245,1,1
Kane,Bria of Geneva,2020-11-27,147,30,0.20408163265306123,2,1
Cook,Midway Neuro and Rehab,2020-11-27,142,12,0.08450704225352113,1,1
Coles,Mattoon Rehabilitation and Health Care Center,2020-11-27,141,16,0.11347517730496454,1,1
Cook,Harmony Healthcare and Rehab,2020-11-27,139,29,0.20863309352517986,2,1
LaSalle,Liberty Village of Peru - Manor Court,2020-11-27,139,21,0.1510791366906475,1,1
Cook,Generations at Regency,2020-11-27,138,33,0.2391304347826087,2,1
Macon,Imboden Creek,2020-11-27,133,7,0.05263157894736842,1,1
Will,symphony of joliet,2020-11-27,130,25,0.19230769230769232,1,1
Kane,Symphony of Orchard Valley,2020-11-27,126,24,0.19047619047619047,2,1
Lee,Jack Mabley Developmental Center,2020-11-27,125,1,0.008,2,1
Cook,Clark Manor,2020-11-27,124,15,0.12096774193548387,1,1
Cook,Pearl of Rolling Meadows,2020-11-27,124,7,0.056451612903225805,2,1
Williamson,Shawnee Senior Living,2020-11-27,124,19,0.1532258064516129,2,1
Cook,Golfview Developmental Center,2020-11-27,123,11,0.08943089430894309,1,1
Sangamon,Villa East,2020-11-27,122,26,0.21311475409836064,1,1
Madison,University Care Center,2020-11-27,122,13,0.10655737704918032,3,1
Cook,Mosaic of Lakeshore,2020-11-27,122,29,0.23770491803278687,1,1
Cook,Alden Town Manor Rehabilitation & Health Care Cent,2020-11-27,121,25,0.2066115702479339,1,1
Greene,White Hall Nursing and Rehab,2020-11-27,121,20,0.1652892561983471,1,1
Lake,Rolling Hills Manor,2020-11-27,120,17,0.14166666666666666,3,1
Cook,Citadel of Northbrook,2020-11-27,120,8,0.06666666666666667,1,1
Cook,Ambassador Nursing,2020-11-27,120,9,0.075,2,1
Cook,Uptown Health Center,2020-11-27,120,18,0.15,1,1
Cook,Center Home for Hispanic Elderly,2020-11-27,120,30,0.25,1,1
Cook,Alden Lakeland,2020-11-27,120,2,0.016666666666666666,3,1
DuPage,West Suburban Nursing & Rehabilitation Center,2020-11-27,118,17,0.1440677966101695,1,1
DuPage,Forestview Rehabilitation & Nursing Center,2020-11-27,118,18,0.15254237288135594,1,1
DuPage,Alden Estates of Naperville,2020-11-27,117,22,0.18803418803418803,3,1
Macon,Villa Clara Post Acute,2020-11-27,117,14,0.11965811965811966,1,1
Rock Island,Centennial Care Center,2020-11-27,116,16,0.13793103448275862,1,1
Cook,Grosse Pointe Manor,2020-11-27,116,25,0.21551724137931033,1,1
Cook,ManorCare ElkGrove Village,2020-11-27,116,25,0.21551724137931033,1,1
LaSalle,Heritage Health Mendota,2020-11-27,116,24,0.20689655172413793,1,1
Marion,Odin Care Center,2020-11-27,115,17,0.14782608695652175,1,1
Will,Presence Villa Franciscan,2020-11-27,114,18,0.15789473684210525,2,1
Monroe,Oak Hill,2020-11-27,113,18,0.1592920353982301,1,1
Cook,Addolorata Villa,2020-11-27,112,20,0.17857142857142858,2,1
Will,Salem Village NH,2020-11-27,112,8,0.07142857142857142,1,1
Cook,Carlton at the Lake,2020-11-27,112,20,0.17857142857142858,2,1
Lawrence,Aperion HealthCare,2020-11-27,111,5,0.04504504504504504,1,1
Madison,Stearns Nursing and Rehabilitation Center,2020-11-27,111,20,0.18018018018018017,1,1
Rock Island,Heartland Healthcare Center Moline,2020-11-27,111,9,0.08108108108108109,1,1
Cook,Avanti Wellness & Rehabilitation ,2020-11-27,110,16,0.14545454545454545,1,1
Cook,Windsor Estates,2020-11-27,109,23,0.21100917431192662,1,1
DuPage,Windsor Park Manor,2020-11-27,109,21,0.1926605504587156,1,1
Richland,Richland Nursing and Rehab,2020-11-27,109,15,0.13761467889908258,1,1
Cook,Austin Oasis,2020-11-27,107,16,0.14953271028037382,2,1
Ogle,Generations at Neighbors,2020-11-27,107,9,0.08411214953271028,1,1
Cook,Lee Manor Rehab and Nursing,2020-11-27,107,20,0.18691588785046728,1,1
DuPage,DuPage Care Center,2020-11-27,107,5,0.04672897196261682,1,1
Madison,Edwardsville Care Center,2020-11-27,107,22,0.205607476635514,2,1
Knox,Seminary Manor,2020-11-27,106,17,0.16037735849056603,1,1
Will,Beecher Manor ,2020-11-27,106,17,0.16037735849056603,1,1
St. Clair,Four Fountains,2020-11-27,104,31,0.2980769230769231,1,1
Cook,Astoria Place of Chicago,2020-11-27,104,20,0.19230769230769232,1,1
Cook,Norwood crossing Skilled Nursing,2020-11-27,104,18,0.17307692307692307,1,1
Cook,Avantara Evergreen Park,2020-11-27,103,23,0.22330097087378642,2,1
Kankakee,Illinois Veterans Home Manteno,2020-11-27,103,19,0.18446601941747573,2,1
Cook,Bria of Palos Hills,2020-11-27,103,18,0.17475728155339806,1,1
DuPage,Oakbrook Care,2020-11-27,103,24,0.23300970873786409,1,1
Cook,Central Nursing Home,2020-11-27,102,17,0.16666666666666666,2,1
DuPage,Arista Healthcare Naperville,2020-11-27,102,4,0.0392156862745098,3,1
Peoria,Heritage Health,2020-11-27,102,18,0.17647058823529413,1,1
Randolph,Red Bud Regional Care Center,2020-11-27,102,7,0.06862745098039216,1,1
Madison,Meridian Village,2020-11-27,101,7,0.06930693069306931,1,1
Cook,Aperion Care Oak Lawn,2020-11-27,101,22,0.21782178217821782,1,1
Cook,Bellhaven Nursing and Rehabilitation,2020-11-27,101,9,0.0891089108910891,1,1
Lake,Aperion Care Highwood,2020-11-27,101,13,0.12871287128712872,2,1
Jersey,Liberty Village of Jerseyville,2020-11-27,100,18,0.18,1,1
Williamson,Parkway Manor,2020-11-27,99,22,0.2222222222222222,1,1
Will,Lakewood Nursing Home,2020-11-27,99,8,0.08080808080808081,3,1
Carroll,Big Meadows Nursing Home,2020-11-27,99,9,0.09090909090909091,1,1
Lake,Symphony Buffalo Grove,2020-11-27,99,10,0.10101010101010101,1,1
Shelby,Shelbyville Manor,2020-11-27,99,11,0.1111111111111111,2,1
Cook,Atrium Health Care Center,2020-11-27,99,10,0.10101010101010101,1,1
Cook,The Grove of Northbrook,2020-11-27,98,3,0.030612244897959183,2,1
Cook,Alden Estates of Northmoor,2020-11-27,98,19,0.19387755102040816,1,1
DuPage,The Grove of Elmhurst,2020-11-27,98,15,0.15306122448979592,1,1
Madison,Granite Nursing and Rehabilitation Center,2020-11-27,97,11,0.1134020618556701,2,1
Cook,Chalet Living And Rehab Center,2020-11-27,97,14,0.14432989690721648,1,1
Will,Spring Creek Nursing Home,2020-11-27,97,8,0.08247422680412371,2,1
Rock Island,Hope Creek,2020-11-27,97,2,0.020618556701030927,1,1
Christian,taylorville care center,2020-11-27,96,16,0.16666666666666666,1,1
Adams,St Vincents Nursing Home,2020-11-27,96,9,0.09375,1,1
Will,Frankfort Terrace,2020-11-27,96,2,0.020833333333333332,1,1
Kane,The Grove Fox Valley,2020-11-27,96,10,0.10416666666666667,2,1
Macon,Fairhavens Senior Living,2020-11-27,95,21,0.22105263157894736,1,1
Cook,Manor Care Oak Lawn EAST. Cook,2020-11-27,95,21,0.22105263157894736,1,1
Will,Sunny Hill Nursing Home,2020-11-27,95,16,0.16842105263157894,2,1
Cook,Landmark of Des Plaines,2020-11-27,95,22,0.23157894736842105,1,1
Cook,Bella Terra Wheeling,2020-11-27,95,19,0.2,1,1
Coles,Charleston Rehab and Healthcare,2020-11-27,95,17,0.17894736842105263,1,1
Whiteside,Exceptional Care and Training Center,2020-11-27,95,4,0.042105263157894736,1,1
Lake,Warren Barr North Shore,2020-11-27,94,18,0.19148936170212766,1,1
Cook,Lakeview Nursing and Rehab,2020-11-27,93,22,0.23655913978494625,2,1
Will,St James Manor,2020-11-27,93,26,0.27956989247311825,1,1
Madison,Eden Village Care Center,2020-11-27,92,22,0.2391304347826087,3,1
Kane,Asbury Gardens,2020-11-27,92,19,0.20652173913043478,1,1
Jefferson,Mt. Vernon Healthcare Center,2020-11-27,91,17,0.18681318681318682,1,1
Cook,Alden PoplarCreek,2020-11-27,91,26,0.2857142857142857,1,1
McHenry,Alden Terrace of McHenry,2020-11-27,91,13,0.14285714285714285,1,1
Mason,Mason City Area Nursing Home ,2020-11-27,90,12,0.13333333333333333,1,1
Cook,The Grove of Evanston,2020-11-27,89,19,0.21348314606741572,1,1
Bureau,Aperion Care- Princeton,2020-11-27,89,2,0.02247191011235955,1,1
Cook,Lieberman Geriatric Center,2020-11-27,89,12,0.1348314606741573,1,1
Boone,Symphony Northwoods,2020-11-27,89,16,0.1797752808988764,1,1
Cook,Glenwood Health Care & Rehab,2020-11-27,89,6,0.06741573033707865,1,1
Rock Island,St. Anthonys Continue Care,2020-11-27,89,15,0.16853932584269662,1,1
Cook,Generations at Elmwood Park,2020-11-27,89,19,0.21348314606741572,1,1
