reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks
2020-08-28,Adams,Adams Pointe Senior Living,4,0,Closed,0.0,1
2020-08-28,Adams,Bradford Villa,7,1,Open,0.14285714285714285,1
2020-08-28,Adams,Good Samaritan Home,3,0,Open,0.0,1
2020-08-28,Adams,Illinois Veterans Home,38,1,Open,0.02631578947368421,1
2020-08-28,Adams,Senior Center,4,2,Open,0.5,1
2020-08-28,Bond,Greenville Nursing & Rehab,5,0,Open,0.0,1
2020-08-28,Boone,Park Place of Belvidere,6,0,Closed,0.0,1
2020-08-28,Boone,Symphony Northwoods,89,16,Open,0.1797752808988764,1
2020-08-28,Bureau,St. Margarets Living Center,3,0,Open,0.0,1
2020-08-28,Carroll,Big Meadows Nursing Home,24,2,Open,0.08333333333333333,1
2020-08-28,Cass,Heritage Health,5,0,Open,0.0,1
2020-08-28,Cass,Walker Nursing Home,57,11,Closed,0.19298245614035087,1
2020-08-28,Champaign,Champaign-Urbana Nursing and Rehab,4,1,Closed,0.25,1
2020-08-28,Champaign,Country Health and Rehab,7,0,Open,0.0,1
2020-08-28,Champaign,Green House Homes at Clark-Lindsey,2,0,Closed,0.0,1
2020-08-28,Champaign,Illini Heritage Rehab and Health,2,0,Open,0.0,1
2020-08-28,Champaign,Reflections Memory Care,28,4,Closed,0.14285714285714285,1
2020-08-28,Champaign,University Rehab Center,5,0,Closed,0.0,1
2020-08-28,Champaign,Villas of Hollybrook-Rantoul,5,0,Open,0.0,1
2020-08-28,Christian,Meadow Manor,15,1,Open,0.06666666666666667,1
2020-08-28,Christian,Prairie Rose,2,0,Open,0.0,1
2020-08-28,Christian,taylorville care center,3,0,Open,0.0,1
2020-08-28,Christian,Taylorville Hickory Estates,2,0,Open,0.0,1
2020-08-28,Christian,Villas of Holly Brook,2,0,Closed,0.0,1
2020-08-28,Clark,Villas of Holly Brook Marshall,8,0,Open,0.0,1
2020-08-28,Clinton,Carlyle HealthCare Center,85,15,Closed,0.17647058823529413,1
2020-08-28,Clinton,Clinton Manor Living Facility,10,0,Open,0.0,1
2020-08-28,Clinton,Clinton Manor Living Facility,31,1,Closed,0.03225806451612903,1
2020-08-28,Clinton,Villa Catherine,7,0,Closed,0.0,1
2020-08-28,Clinton,Warrren G Murray Develpmental Center,62,0,Closed,0.0,1
2020-08-28,Coles,Charleston Rehab and Healthcare,95,17,Open,0.17894736842105263,1
2020-08-28,Coles,Mattoon Healthcare,2,0,Closed,0.0,1
2020-08-28,Coles,Mattoon Healthcare,2,0,Open,0.0,1
2020-08-28,Coles,Odd Fellow Rebekah,20,3,Open,0.15,1
2020-08-28,Coles,Villas of Holly,5,0,Open,0.0,1
2020-08-28,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1
2020-08-28,Cook,Addolorata Villa,107,19,Open,0.17757009345794392,1
2020-08-28,Cook,Albany Care,3,0,Open,0.0,1
