County,FacilityName2,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,Brandel Care Center,145527,2021-02-12,565,15,0.02654867256637168,2,1,1,1
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2021-02-12,493,2,0.004056795131845842,2,1,1,1
Cook,Ludeman Developmental Center,No Match,2021-02-12,263,9,0.034220532319391636,1,1,0,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2021-02-12,257,44,0.17120622568093385,2,1,1,1
Lake,Avantara Long Grove,145868,2021-02-12,255,34,0.13333333333333333,2,1,1,1
Cook,Peterson Park Health Care,145838,2021-02-12,253,36,0.1422924901185771,2,1,1,1
Cook,Bria River Oaks,145735,2021-02-12,250,3,0.012,2,1,1,1
Cook,City View Multi Care Center,145850,2021-02-12,249,15,0.060240963855421686,1,1,0,1
Cook,Niles Nursing and Rehab Center,145696,2021-02-12,247,54,0.21862348178137653,2,1,1,1
Adams,Illinois Veterans Home Quincy,No Match,2021-02-12,239,24,0.100418410041841,1,0,1,1
Cook,Woodbridge Nursing Pavilion,145792,2021-02-12,236,41,0.17372881355932204,2,1,1,1
Cook,Symphony of South Shore,145977,2021-02-12,231,36,0.15584415584415584,2,0,2,1
Cook,Symphony at Midway,145995,2021-02-12,227,27,0.11894273127753303,3,2,1,1
Rock Island,Hope Creek,145269,2021-02-12,223,26,0.11659192825112108,1,1,0,1
Cook,Symphony of Lincoln Park,145510,2021-02-12,219,32,0.1461187214611872,2,1,1,1
LaSalle,Illinois Veterans Home - LaSalle,No Match,2021-02-12,219,36,0.1643835616438356,2,1,1,1
Cook,Villa at Windsor Park,145970,2021-02-12,215,44,0.20465116279069767,3,2,1,1
DuPage,Manorcare Hinsdale,145246,2021-02-12,215,41,0.19069767441860466,2,1,1,1
DuPage,St. Patricks Residence Nursing and Rehabilitation,145878,2021-02-12,215,16,0.07441860465116279,1,0,1,1
Cook,Symphony of Morgan Park,145764,2021-02-12,214,26,0.12149532710280374,2,0,2,1
Will,Sunny Hill Nursing Home,145892,2021-02-12,214,36,0.16822429906542055,3,2,1,1
Cook,Parkshore Estates,145938,2021-02-12,212,6,0.02830188679245283,2,1,1,1
Cook,Elevate Care Chicago North,145484,2021-02-12,208,34,0.16346153846153846,2,1,1,1
Will,Aperion Wilmington,145316,2021-02-12,205,0,0.0,3,2,1,1
Cook,Albany Care,No Match,2021-02-12,205,1,0.004878048780487805,1,0,1,1
Cook,Clark Manor,145507,2021-02-12,201,19,0.0945273631840796,2,1,1,1
Cook,Generations at Regency,145237,2021-02-12,199,38,0.19095477386934673,2,1,1,1
DuPage,DuPage Care Center,145050,2021-02-12,199,10,0.05025125628140704,1,0,1,1
Cook,Bria Forest Edge,145864,2021-02-12,198,6,0.030303030303030304,1,0,1,1
Cook,Glenview Terrace,145268,2021-02-12,196,35,0.17857142857142858,2,1,1,1
DuPage,Meadowbrook Manor Naperville,145874,2021-02-12,194,18,0.09278350515463918,2,1,1,1
Will,Presence Villa Franciscan,145029,2021-02-12,194,21,0.10824742268041238,2,1,1,1
Cook,Avantara Park Ridge,145667,2021-02-12,193,30,0.15544041450777202,2,1,1,1
Cook,Lee Manor Rehab and Nursing,145382,2021-02-12,193,34,0.17616580310880828,1,0,1,1
Kane,Tower Hill Healthcare Center,145795,2021-02-12,192,31,0.16145833333333334,2,1,1,1
Cook,Aperion Care International of Chicago,146001,2021-02-12,191,22,0.11518324607329843,1,0,1,1
Cook,Symphony at 87th,145983,2021-02-12,190,34,0.17894736842105263,1,0,1,1
Cook,Bella Terra Streamwood,145701,2021-02-12,188,21,0.11170212765957446,2,1,1,1
Sangamon,Lewis Memorial Christian Village,146026,2021-02-12,188,11,0.05851063829787234,1,1,0,1
Madison,Riverside Rehab and Healthcare,145651,2021-02-12,187,33,0.17647058823529413,3,2,1,1
Clinton,Warren G. Murray Developmental Center,No Match,2021-02-12,181,1,0.0055248618784530384,1,0,1,1
Cook,Norridge Gardens,145329,2021-02-12,181,57,0.3149171270718232,1,1,0,1
Kane,River View Rehab,145308,2021-02-12,180,16,0.08888888888888889,1,0,1,1
Cook,Elevate Care Niles,145662,2021-02-12,180,29,0.16111111111111112,3,2,1,1
Kane,The Grove Fox Valley,145006,2021-02-12,174,24,0.13793103448275862,2,1,1,1
Kankakee,Illinois Veterans Home Manteno,No Match,2021-02-12,169,21,0.1242603550295858,3,2,1,1
Lake,Whitehall of Deerfield,145706,2021-02-12,169,6,0.03550295857988166,2,1,1,1
Cook,Mayfield Care Center,145885,2021-02-12,169,23,0.13609467455621302,2,1,1,1
Kankakee,Riverside Miller Rehabilitation,No Match,2021-02-12,166,23,0.13855421686746988,2,1,1,1
Cook,Warren Barr Gold Coast,145336,2021-02-12,157,16,0.10191082802547771,1,0,1,1
LaSalle,Liberty Village of Peru - Manor Court,No Match,2021-02-12,157,31,0.19745222929936307,1,1,0,1
Cook,California Gardens Nursing and Rehabilitation Cent,145625,2021-02-12,157,6,0.03821656050955414,1,1,0,1
Cook,Norwood crossing Skilled Nursing,145974,2021-02-12,156,18,0.11538461538461539,1,0,1,1
Peoria,Lutheran Hillside Village,No Match,2021-02-12,155,13,0.08387096774193549,3,2,1,1
Marion,Bryan Manor,No Match,2021-02-12,155,8,0.05161290322580645,1,0,1,1
Madison,Meridian Village,146142,2021-02-12,154,12,0.07792207792207792,1,0,1,1
DuPage,Bridgeway Senior Living,No Match,2021-02-12,153,12,0.0784313725490196,2,1,1,1
Monroe,Oak Hill,145445,2021-02-12,153,24,0.1568627450980392,1,0,1,1
Cook,Bella Terra Wheeling,145835,2021-02-12,153,30,0.19607843137254902,3,2,1,1
DuPage,Bria of Westmont,145405,2021-02-12,152,29,0.19078947368421054,1,0,1,1
DuPage,Winfield Woods Healthcare Center,146168,2021-02-12,151,6,0.039735099337748346,4,3,1,1
Cook,Fairmont Care,145867,2021-02-12,151,32,0.2119205298013245,1,1,0,1
